cartera_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,cantidad_prestamos,valor_rd
129,1,Arenoso,5,2017,8,811,287561519
130,2,Azua,5,2017,8,1960,643392438
131,3,Baní,5,2017,8,770,549104276
132,4,Barahona,5,2017,8,2122,588223454
133,5,Bonao,5,2017,8,628,438042472
134,6,Comendador,5,2017,8,1827,335166099
135,7,Constanza,5,2017,8,1253,788510818
136,8,Cotuí,5,2017,8,1976,1016200595
137,9,Dajabón,5,2017,8,1176,487775349
138,10,El Seibo,5,2017,8,1151,316594780
139,11,Hato Mayor,5,2017,8,1135,608870159
140,12,Higüey,5,2017,8,1185,802977116
141,13,La Vega,5,2017,8,1042,938515421
142,15,Moca,5,2017,8,977,619963850
143,16,Monte Plata,5,2017,8,1254,953718925
144,17,Montecristí,5,2017,8,1070,1323960255
145,18,Nagua,5,2017,8,1092,397360896
146,19,Neyba,5,2017,8,1684,477198962
147,20,Puerto Plata,5,2017,8,1865,546970800
148,21,Río San Juan,5,2017,8,979,443014094
149,22,Salcedo,5,2017,8,855,400160775
150,23,Samaná,5,2017,8,1267,294473092
151,24,San Cristóbal,5,2017,8,1257,655580009
152,25,San Francisco de Macorís,5,2017,8,883,654411522
153,26,San José de Ocoa,5,2017,8,1158,1612936190
154,27,San José de las Matas,5,2017,8,940,576659759
155,28,San Juan de la Maguana,5,2017,8,4600,1386148122
156,29,Santiago,5,2017,8,467,393829697
157,30,Santiago Rodríguez,5,2017,8,1659,754215677
158,31,Santo Domingo,5,2017,8,1922,1645775714
159,32,Valverde Mao,5,2017,8,1025,1412127081
160,33,Villa Riva,5,2017,8,1114,350010707
161,1,Arenoso,6,2017,9,753,271916326
162,2,Azua,6,2017,9,1953,633177370
163,3,Baní,6,2017,9,775,543439959
164,4,Barahona,6,2017,9,2093,574493920
165,5,Bonao,6,2017,9,607,422597019
166,6,Comendador,6,2017,9,1797,321952459
167,7,Constanza,6,2017,9,1231,768985754
168,8,Cotuí,6,2017,9,1961,1011507745
169,9,Dajabón,6,2017,9,1150,479825767
170,10,El Seibo,6,2017,9,1120,305813624
171,11,Hato Mayor,6,2017,9,1121,614547279
172,12,Higüey,6,2017,9,1157,783596012
173,13,La Vega,6,2017,9,941,904393055
174,15,Moca,6,2017,9,950,617870820
175,16,Monte Plata,6,2017,9,1279,1003521742
176,17,Montecristí,6,2017,9,999,1316962724
177,18,Nagua,6,2017,9,1070,405709937
178,19,Neyba,6,2017,9,1631,462522826
179,20,Puerto Plata,6,2017,9,1847,544589612
180,21,Río San Juan,6,2017,9,974,440812659
181,22,Salcedo,6,2017,9,833,395011593
182,23,Samaná,6,2017,9,1250,296968699
183,24,San Cristóbal,6,2017,9,1244,639078012
184,25,San Francisco de Macorís,6,2017,9,811,654835078
185,26,San José de Ocoa,6,2017,9,1157,1618349362
186,27,San José de las Matas,6,2017,9,935,578093692
187,28,San Juan de la Maguana,6,2017,9,4536,1398822079
188,29,Santiago,6,2017,9,457,416018282
189,30,Santiago Rodríguez,6,2017,9,1660,755496908
