desembolso_cobro_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,desembolsos_rd,cobros_rd,balance_neto_rd
105,9,Dajabón,97,2025,4,21396890,25762265,-4365375
106,10,El Seibo,97,2025,4,23404391,29280723,-5876332
107,11,Hato Mayor,97,2025,4,29360305,84447311,-55087006
108,12,Higüey,97,2025,4,62269879,44398053,17871826
109,13,La Vega,97,2025,4,297665874,364881577,-67215703
110,14,Mao Valverde,97,2025,4,145046006,117258173,27787833
111,15,Moca,97,2025,4,63071466,52395953,10675513
112,16,Monte Plata,97,2025,4,24496648,41523138,-17026490
113,17,Montecristí,97,2025,4,202662237,98074325,104587912
114,18,Nagua,97,2025,4,88757521,122094817,-33337296
115,19,Neyba,97,2025,4,4876731,15866501,-10989770
116,20,Puerto Plata,97,2025,4,32999766,57069602,-24069836
117,21,Río San Juan,97,2025,4,24675121,22849817,1825304
118,22,Salcedo,97,2025,4,18714010,23376238,-4662228
119,23,Samaná,97,2025,4,12557939,16370623,-3812684
120,24,San Cristóbal,97,2025,4,7551337,12779749,-5228412
121,25,San Francisco de Macorís,97,2025,4,199269974,102565202,96704772
122,26,San José de Ocoa,97,2025,4,98957269,190173260,-91215991
123,27,San José de las Matas,97,2025,4,16287065,16972948,-685883
124,28,San Juan de la Maguana,97,2025,4,44919287,34161881,10757406
125,29,Santiago,97,2025,4,164065569,162465082,1600487
126,30,Santiago Rodríguez,97,2025,4,15606489,58226089,-42619600
127,31,Santo Domingo,97,2025,4,314482504,349477848,-34995344
128,33,Villa Riva,97,2025,4,19410627,85447367,-66036740
129,1,Arenoso,98,2025,5,79036522,180887294,-101850772
130,2,Azua,98,2025,5,17160083,32663800,-15503717
131,3,Baní,98,2025,5,64789606,41495900,23293706
132,4,Barahona,98,2025,5,12114946,17136653,-5021707
133,5,Bonao,98,2025,5,43839658,33091574,10748084
134,6,Comendador,98,2025,5,14148171,13875059,273112
135,7,Constanza,98,2025,5,111026652,126143612,-15116960
136,8,Cotuí,98,2025,5,239705806,118828917,120876889
137,9,Dajabón,98,2025,5,24832103,31455227,-6623124
138,10,El Seibo,98,2025,5,89465473,31784147,57681326
139,11,Hato Mayor,98,2025,5,32885592,34740632,-1855040
140,12,Higüey,98,2025,5,16928176,48636092,-31707916
141,13,La Vega,98,2025,5,256866835,155498901,101367934
142,14,Mao Valverde,98,2025,5,358460115,181867094,176593021
143,15,Moca,98,2025,5,34918368,52426763,-17508395
144,16,Monte Plata,98,2025,5,40679180,52557900,-11878720
145,17,Montecristí,98,2025,5,106523604,56571663,49951941
146,18,Nagua,98,2025,5,31901889,92410509,-60508620
147,19,Neyba,98,2025,5,11356281,18529867,-7173586
148,20,Puerto Plata,98,2025,5,55843256,51852306,3990950
149,21,Río San Juan,98,2025,5,64821706,99230222,-34408516
150,22,Salcedo,98,2025,5,87829761,79890651,7939110
151,23,Samaná,98,2025,5,19759491,17617594,2141897
152,24,San Cristóbal,98,2025,5,13516734,13210991,305743
153,25,San Francisco de Macorís,98,2025,5,94220624,125392837,-31172213
154,26,San José de Ocoa,98,2025,5,99596806,105169985,-5573179
155,27,San José de las Matas,98,2025,5,29948903,13696047,16252856
156,28,San Juan de la Maguana,98,2025,5,49539890,93484592,-43944702
157,29,Santiago,98,2025,5,162999886,186580064,-23580178
158,30,Santiago Rodríguez,98,2025,5,13226911,22134227,-8907316
159,31,Santo Domingo,98,2025,5,329768961,305369805,24399156
160,33,Villa Riva,98,2025,5,34451040,65782541,-31331501
161,1,Arenoso,99,2025,6,118806470,102407577,16398893
162,2,Azua,99,2025,6,22532843,26700600,-4167757
163,3,Baní,99,2025,6,27400158,34214258,-6814100
164,4,Barahona,99,2025,6,19026939,16962113,2064826
165,5,Bonao,99,2025,6,71213041,86066434,-14853393
166,6,Comendador,99,2025,6,14223745,11337913,2885832
167,7,Constanza,99,2025,6,70329219,104863780,-34534561
168,8,Cotuí,99,2025,6,72526223,70025371,2500852
169,9,Dajabón,99,2025,6,22257097,31032966,-8775869
170,10,El Seibo,99,2025,6,13259622,54142355,-40882733
171,11,Hato Mayor,99,2025,6,31823450,50982290,-19158840
172,12,Higüey,99,2025,6,30716571,31483501,-766930
173,13,La Vega,99,2025,6,232232200,135625573,96606627
174,14,Mao Valverde,99,2025,6,73220324,81977694,-8757370
175,15,Moca,99,2025,6,78326138,92984785,-14658647
176,16,Monte Plata,99,2025,6,31604121,65401677,-33797556
177,17,Montecristí,99,2025,6,64562416,61465698,3096718
178,18,Nagua,99,2025,6,80970740,80586997,383743
179,19,Neyba,99,2025,6,11932836,14228396,-2295560
180,20,Puerto Plata,99,2025,6,33352350,46990787,-13638437
181,21,Río San Juan,99,2025,6,40942222,31038168,9904054
182,22,Salcedo,99,2025,6,43239703,73358074,-30118371
183,23,Samaná,99,2025,6,17124952,18603586,-1478634
184,24,San Cristóbal,99,2025,6,8949507,16314329,-7364822
185,25,San Francisco de Macorís,99,2025,6,147219741,144314713,2905028
186,26,San José de Ocoa,99,2025,6,75050041,64840627,10209414
187,27,San José de las Matas,99,2025,6,28603126,16205841,12397285
188,28,San Juan de la Maguana,99,2025,6,45524643,50633675,-5109032
189,29,Santiago,99,2025,6,115355978,119576183,-4220205
190,30,Santiago Rodríguez,99,2025,6,14611789,24171441,-9559652
191,31,Santo Domingo,99,2025,6,214479808,261943588,-47463780
192,33,Villa Riva,99,2025,6,30024779,38631577,-8606798
193,1,Arenoso,100,2025,7,86403380,31111643,55291737
194,2,Azua,100,2025,7,95670816,44592827,51077989
195,3,Baní,100,2025,7,44489524,36601005,7888519
196,4,Barahona,100,2025,7,9690650,56657879,-46967229
197,5,Bonao,100,2025,7,49681283,35891084,13790199
198,6,Comendador,100,2025,7,30952112,22176508,8775604
199,7,Constanza,100,2025,7,55508053,81029701,-25521648
200,8,Cotuí,100,2025,7,189652992,173110359,16542633
201,9,Dajabón,100,2025,7,33576284,31979777,1596507
202,10,El Seibo,100,2025,7,44327893,18141004,26186889
203,11,Hato Mayor,100,2025,7,27366678,29284885,-1918207
204,12,Higüey,100,2025,7,35229987,45182277,-9952290
205,13,La Vega,100,2025,7,205597618,159076821,46520797
206,14,Mao Valverde,100,2025,7,192169321,158379732,33789589
207,15,Moca,100,2025,7,56245731,46378000,9867731
208,16,Monte Plata,100,2025,7,142394042,39594278,102799764
209,17,Montecristí,100,2025,7,79180942,47272581,31908361
210,18,Nagua,100,2025,7,94984500,37217117,57767383
211,19,Neyba,100,2025,7,12750435,13437421,-686986
212,20,Puerto Plata,100,2025,7,52994084,57708197,-4714113
213,21,Río San Juan,100,2025,7,43489247,70276834,-26787587
214,22,Salcedo,100,2025,7,23012572,23561326,-548754
215,23,Samaná,100,2025,7,21314115,19111855,2202260
