monto_destino_id,destino_id,destino_nombre,rubro,tipo_operacion,periodo_id,anio,mes_numero,cantidad,valores_rd,tareas,beneficiados
78,68,Otros Agrícolas,Otros Agrícolas,General,2,2017,5,170,141119232,13934,170
79,69,Otros Avícolas,Otros Avícolas,General,2,2017,5,0,0,0,0
80,70,Otros Pecuarios,Otros Pecuarios,General,2,2017,5,45,24178837,0,45
81,72,Papa,Papa,General,2,2017,5,27,24073600,1073,27
82,75,Piña,Piña,General,2,2017,5,16,15471000,1888,16
83,77,Plátano,Plátano,General,2,2017,5,84,19170780,3780,84
84,82,Pollos de Engorde,Pollos de Engorde,General,2,2017,5,57,49243000,0,57
85,85,Porcino (Comercialización),Porcino,Comercialización,2,2017,5,1,60000,0,1
86,86,Porcino (Producción),Porcino,Producción,2,2017,5,64,40177000,0,64
87,87,Préstamos de Consumo,Préstamos de Consumo,General,2,2017,5,202,32409435,0,202
88,92,Tabaco (Comercialización),Tabaco,Comercialización,2,2017,5,1,100000,0,1
89,94,Tabaco (Producción),Tabaco,Producción,2,2017,5,0,0,0,0
90,97,Tomate Industrial,Tomate Industrial,General,2,2017,5,0,0,0,0
91,98,Tomate de Mesa,Tomate de Mesa,General,2,2017,5,25,12285000,450,25
92,100,Yautía,Yautía,General,2,2017,5,22,3212000,759,22
93,102,Yuca,Yuca,General,2,2017,5,18,2434000,762,18
94,104,Ñame,Ñame,General,2,2017,5,13,1570500,278,13
95,3,"Agro. Manufactura, Comercio V. y Otros","Agro. Manufactura, Comercio V. y Otros",General,3,2017,6,346,322532080,0,346
96,4,Aguacate (Producción),Aguacate,Producción,3,2017,6,44,17240000,2353,82
97,8,Ajo (Comercialización),Ajo,Comercialización,3,2017,6,1,35000000,0,1
98,9,Ajo (Producción),Ajo,Producción,3,2017,6,0,0,0,0
99,10,Ají (Producción),Ají,Producción,3,2017,6,23,14945000,264,23
100,11,Apícola,Apícola,General,3,2017,6,3,9064106,0,3
101,14,Arroz (Comercialización),Arroz,Comercialización,3,2017,6,9,81528038,0,9
102,17,Arroz (Producción),Arroz,Producción,3,2017,6,1511,655923650,139727,1551
103,20,Batata,Batata,General,3,2017,6,5,610000,295,5
104,23,Cacao (Comercialización),Cacao,Comercialización,3,2017,6,5,11450000,0,5
105,24,Cacao (Producción),Cacao,Producción,3,2017,6,209,97632000,35851,209
106,26,Café (Comercialización),Café,Comercialización,3,2017,6,0,0,0,0
107,27,Café (Producción),Café,Producción,3,2017,6,31,14972000,3050,31
108,28,Cebolla,Cebolla,General,3,2017,6,10,9295000,553,10
109,33,Coco (Comercialización),Coco,Comercialización,3,2017,6,0,0,0,0
110,34,Coco (Producción),Coco,Producción,3,2017,6,8,2080000,985,8
