Sucursales ;Desembolsos (RD$);Cobros (RD$);Mes;Año
Higüey; 62,269,879 ; 44,398,053 ;Abril;2025
Hato Mayor; 29,360,305 ; 84,447,311 ;Abril;2025
Monte Plata; 24,496,648 ; 41,523,138 ;Abril;2025
Azua; 11,411,596 ; 32,544,795 ;Abril;2025
Baní; 21,618,861 ; 35,790,458 ;Abril;2025
Neyba; 4,876,731 ; 15,866,501 ;Abril;2025
Barahona; 9,572,644 ; 9,655,282 ;Abril;2025
San Juan de la Maguana ; 44,919,287 ; 34,161,881 ;Abril;2025
Comendador; 11,146,867 ; 11,556,129 ;Abril;2025
Nagua; 88,757,521 ; 122,094,817 ;Abril;2025
Arenoso; 37,524,686 ; 105,151,003 ;Abril;2025
Samaná; 12,557,939 ; 16,370,623 ;Abril;2025
Río San Juan; 24,675,121 ; 22,849,817 ;Abril;2025
Villa Riva; 19,410,627 ; 85,447,367 ;Abril;2025
San Francisco de Macorís; 199,269,974 ; 102,565,202 ;Abril;2025
Santiago; 164,065,569 ; 162,465,082 ;Abril;2025
Moca; 63,071,466 ; 52,395,953 ;Abril;2025
San José de las Matas; 16,287,065 ; 16,972,948 ;Abril;2025
Constanza; 268,095,068 ; 261,508,867 ;Abril;2025
La Vega; 297,665,874 ; 364,881,577 ;Abril;2025
Santiago Rodríguez; 15,606,489 ; 58,226,089 ;Abril;2025
Montecristi; 202,662,237 ; 98,074,325 ;Abril;2025
Puerto Plata; 32,999,766 ; 57,069,602 ;Abril;2025
Mao Valverde ; 145,046,006 ; 117,258,173 ;Abril;2025
Dajabón; 21,396,890 ; 25,762,265 ;Abril;2025
San José de Ocoa; 98,957,269 ; 190,173,260 ;Abril;2025
Bonao; 20,839,498 ; 14,233,909 ;Abril;2025
San Cristóbal; 7,551,337 ; 12,779,749 ;Abril;2025
Salcedo; 18,714,010 ; 23,376,238 ;Abril;2025
Cotuí; 48,345,893 ; 40,883,099 ;Abril;2025
Santo Domingo; 329,768,961 ; 305,369,805 ;Mayo;2025
El Seibo; 89,465,473 ; 31,784,147 ;Mayo;2025
Higüey; 16,928,176 ; 48,636,092 ;Mayo;2025
Hato Mayor; 32,885,592 ; 34,740,632 ;Mayo;2025
Monte Plata; 40,679,180 ; 52,557,900 ;Mayo;2025
Azua; 17,160,083 ; 32,663,800 ;Mayo;2025
Baní; 64,789,606 ; 41,495,900 ;Mayo;2025
