Sucursales ;Desembolsos (RD$);Cobros (RD$);Mes;Año
Nagua; 82,533,377 ; 58,306,483 ;Febrero;2026
Arenoso; 65,894,526 ; 28,372,005 ;Febrero;2026
Samaná; 22,801,119 ; 19,735,343 ;Febrero;2026
Río San Juan; 35,136,752 ; 21,659,804 ;Febrero;2026
Villa Riva; 25,290,130 ; 16,598,503 ;Febrero;2026
San Francisco de Macorís; 128,531,650 ; 92,624,358 ;Febrero;2026
Santiago; 86,214,120 ; 97,950,313 ;Febrero;2026
Moca; 80,315,645 ; 46,146,256 ;Febrero;2026
San José de las Matas; 34,385,984 ; 27,848,816 ;Febrero;2026
Constanza; 104,588,834 ; 90,674,755 ;Febrero;2026
La Vega; 87,006,880 ; 146,877,419 ;Febrero;2026
Santiago Rodríguez; 44,641,375 ; 26,585,364 ;Febrero;2026
Montecristi; 45,692,260 ; 72,124,579 ;Febrero;2026
Puerto Plata; 37,323,013 ; 40,575,331 ;Febrero;2026
Mao Valverde ; 60,672,721 ; 111,179,588 ;Febrero;2026
Dajabón; 16,489,416 ; 16,275,855 ;Febrero;2026
San José de Ocoa; 112,072,128 ; 117,045,440 ;Febrero;2026
Bonao; 7,598,643 ; 23,545,881 ;Febrero;2026
San Cristóbal; 27,630,622 ; 17,533,873 ;Febrero;2026
Salcedo; 34,779,611 ; 16,019,093 ;Febrero;2026
Cotuí; 64,765,704 ; 81,565,970 ;Febrero;2026
Santo Domingo; 331,430,215 ; 277,923,153 ;Marzo;2026
El Seibo; 14,790,047 ; 24,358,986 ;Marzo;2026
Higüey; 38,008,801 ; 45,837,367 ;Marzo;2026
Hato Mayor; 17,222,570 ; 27,446,010 ;Marzo;2026
Monte Plata; 40,669,478 ; 47,897,816 ;Marzo;2026
Azua; 32,490,266 ; 24,816,358 ;Marzo;2026
Baní; 71,145,331 ; 58,188,091 ;Marzo;2026
Neyba; 13,472,428 ; 14,435,969 ;Marzo;2026
Barahona; 9,808,260 ; 8,653,335 ;Marzo;2026
San Juan de la Maguana ; 43,566,866 ; 80,050,056 ;Marzo;2026
Comendador; 11,238,028 ; 17,436,785 ;Marzo;2026
Nagua; 17,954,641 ; 34,542,917 ;Marzo;2026
Arenoso; 27,789,150 ; 33,644,975 ;Marzo;2026
Samaná; 32,651,243 ; 19,784,366 ;Marzo;2026
Río San Juan; 29,514,006 ; 21,975,683 ;Marzo;2026
Villa Riva; 52,650,240 ; 36,534,660 ;Marzo;2026
San Francisco de Macorís; 92,828,836 ; 105,963,910 ;Marzo;2026
Santiago; 207,287,410 ; 143,161,800 ;Marzo;2026
Moca; 89,574,550 ; 57,361,419 ;Marzo;2026
San José de las Matas; 25,186,201 ; 24,510,590 ;Marzo;2026
Constanza; 204,809,350 ; 134,582,324 ;Marzo;2026
La Vega; 96,825,905 ; 117,414,032 ;Marzo;2026
Santiago Rodríguez; 64,069,447 ; 38,206,487 ;Marzo;2026
Montecristi; 129,626,915 ; 129,434,031 ;Marzo;2026
Puerto Plata; 52,418,994 ; 40,899,498 ;Marzo;2026
Mao Valverde ; 137,812,824 ; 144,349,858 ;Marzo;2026
Dajabón; 13,902,847 ; 34,525,320 ;Marzo;2026
San José de Ocoa; 32,002,333 ; 75,799,933 ;Marzo;2026
Bonao; 91,599,550 ; 82,025,668 ;Marzo;2026
San Cristóbal; 27,402,500 ; 29,442,681 ;Marzo;2026
Salcedo; 20,057,468 ; 18,654,433 ;Marzo;2026
Cotuí; 63,584,916 ; 104,034,898 ;Marzo;2026
