Sucursal;Cantidad de Préstamos;Valor (RD$);Mes;Año
San Juan de la Maguana ;4,600;1,386,148,122;Agosto;2017
Barahona;2,122;588,223,454;Agosto;2017
Neyba;1,684;477,198,962;Agosto;2017
Comendador;1,827;335,166,099;Agosto;2017
San Francisco de Macoris;883;654,411,522;Agosto;2017
Cotui;1,976;1,016,200,595;Agosto;2017
Villa Riva;1,114;350,010,707;Agosto;2017
Arenoso;811;287,561,519;Agosto;2017
Rio San Juan;979;443,014,094;Agosto;2017
Nagua;1,092;397,360,896;Agosto;2017
Samana;1,267;294,473,092;Agosto;2017
La Vega;1,042;938,515,421;Agosto;2017
Bonao;628;438,042,472;Agosto;2017
Constanza;1,253;788,510,818;Agosto;2017
Salcedo;855;400,160,775;Agosto;2017
Moca;977;619,963,850;Agosto;2017
Santiago;467;393,829,697;Agosto;2017
Valverde Mao;1,025;1,412,127,081;Agosto;2017
Montecristy;1,070;1,323,960,255;Agosto;2017
Santiago Rodriguez;1,659;754,215,677;Agosto;2017
Dajabón;1,176;487,775,349;Agosto;2017
San Jose de las Matas;940;576,659,759;Agosto;2017
Puerto Plata;1,865;546,970,800;Agosto;2017
San Cristobal;1,257;655,580,009;Agosto;2017
Bani;770;549,104,276;Agosto;2017
San Jose de Ocoa;1,158;1,612,936,190;Agosto;2017
Azua;1,960;643,392,438;Agosto;2017
Santo Domingo;1,909;1,616,345,832;Septiembre;2017
Monte Plata;1,279;1,003,521,742;Septiembre;2017
Hato Mayor;1,121;614,547,279;Septiembre;2017
El Seibo;1,120;305,813,624;Septiembre;2017
Higuey;1,157;783,596,012;Septiembre;2017
San Juan de la Maguana ;4,536;1,398,822,079;Septiembre;2017
Barahona;2,093;574,493,920;Septiembre;2017
Neyba;1,631;462,522,826;Septiembre;2017
Comendador;1,797;321,952,459;Septiembre;2017
San Francisco de Macoris;811;654,835,078;Septiembre;2017
Cotui;1,961;1,011,507,745;Septiembre;2017
Villa Riva;1,059;332,247,406;Septiembre;2017
Arenoso;753;271,916,326;Septiembre;2017
Rio San Juan;974;440,812,659;Septiembre;2017
Nagua;1,070;405,709,937;Septiembre;2017
Samana;1,250;296,968,699;Septiembre;2017
La Vega;941;904,393,055;Septiembre;2017
Bonao;607;422,597,019;Septiembre;2017
Constanza;1,231;768,985,754;Septiembre;2017
Salcedo;833;395,011,593;Septiembre;2017
Moca;950;617,870,820;Septiembre;2017
Santiago;457;416,018,282;Septiembre;2017
Valverde Mao;973;1,431,730,601;Septiembre;2017
Montecristy;999;1,316,962,724;Septiembre;2017
Santiago Rodriguez;1,660;755,496,908;Septiembre;2017
Dajabón;1,150;479,825,767;Septiembre;2017
