Sucursal;Cantidad de Préstamos;Valor (RD$);Mes;Año
San Jose de las Matas;1,136;522,093,505;Septiembre;2018
Puerto Plata;905;632,754,869;Septiembre;2018
San Cristobal;1,756;576,911,796;Septiembre;2018
Bani;1,144;730,971,616;Septiembre;2018
San Jose de Ocoa;674;694,669,021;Septiembre;2018
Azua;1,163;2,006,376,737;Septiembre;2018
Santo Domingo;1,888;1,583,141,415;Octubre;2018
Monte Plata;1,608;1,524,321,709;Octubre;2018
Hato Mayor;1,119;967,240,147;Octubre;2018
El Seibo;1,041;401,733,652;Octubre;2018
Higuey;919;692,112,033;Octubre;2018
San Juan de la Maguana ;4,112;1,447,944,009;Octubre;2018
Barahona;1,963;638,935,683;Octubre;2018
Neyba;1,551;523,827,188;Octubre;2018
Comendador;1,974;289,807,270;Octubre;2018
San Francisco de Macoris;748;752,821,754;Octubre;2018
Cotui;1,827;1,284,126,072;Octubre;2018
Villa Riva;953;378,995,196;Octubre;2018
Arenoso;618;294,038,185;Octubre;2018
Rio San Juan;1,012;467,624,728;Octubre;2018
Nagua;867;447,073,492;Octubre;2018
Samana;1,233;318,964,791;Octubre;2018
La Vega;653;1,063,465,567;Octubre;2018
Bonao;461;411,499,819;Octubre;2018
Constanza;1,061;827,816,345;Octubre;2018
Salcedo;778;419,697,795;Octubre;2018
Moca;821;698,233,110;Octubre;2018
Santiago;439;497,751,656;Octubre;2018
Valverde Mao;977;1,874,688,689;Octubre;2018
Montecristy;945;979,871,522;Octubre;2018
Santiago Rodriguez;1,472;772,053,314;Octubre;2018
Dajabón;1,120;541,569,508;Octubre;2018
San Jose de las Matas;903;638,604,372;Octubre;2018
Puerto Plata;1,776;595,638,079;Octubre;2018
San Cristobal;1,158;746,341,436;Octubre;2018
Bani;681;712,107,077;Octubre;2018
San Jose de Ocoa;1,157;2,034,884,926;Octubre;2018
Azua;1,878;713,001,191;Octubre;2018
Santo Domingo;1,932;1,862,284,958;Noviembre;2018
Monte Plata;1,625;1,757,341,456;Noviembre;2018
Hato Mayor;1,146;987,151,911;Noviembre;2018
El Seibo;1,045;412,788,577;Noviembre;2018
Higuey;953;694,281,510;Noviembre;2018
San Juan de la Maguana ;4,218;1,468,780,844;Noviembre;2018
Barahona;1,967;664,004,221;Noviembre;2018
Neyba;1,565;535,751,406;Noviembre;2018
Comendador;1,993;307,361,571;Noviembre;2018
San Francisco de Macoris;759;742,658,174;Noviembre;2018
Cotui;1,723;1,282,981,508;Noviembre;2018
Villa Riva;1,044;434,832,958;Noviembre;2018
Arenoso;643;312,367,932;Noviembre;2018
Rio San Juan;996;480,339,724;Noviembre;2018
Nagua;877;439,945,453;Noviembre;2018
Samana;1,213;323,869,817;Noviembre;2018
La Vega;754;1,066,226,149;Noviembre;2018
Bonao;449;417,937,516;Noviembre;2018
Constanza;1,062;860,421,744;Noviembre;2018
Salcedo;799;441,085,530;Noviembre;2018
Moca;846;725,541,829;Noviembre;2018
Santiago;467;495,765,586;Noviembre;2018
Valverde Mao;980;1,840,498,559;Noviembre;2018
Montecristy;951;974,043,483;Noviembre;2018
Santiago Rodriguez;1,475;816,303,241;Noviembre;2018
Dajabón;1,115;541,023,572;Noviembre;2018
San Jose de las Matas;909;670,625,688;Noviembre;2018
Puerto Plata;1,819;617,276,339;Noviembre;2018
San Cristobal;1,166;766,818,940;Noviembre;2018
Bani;702;730,002,704;Noviembre;2018
San Jose de Ocoa;1,158;2,060,708,975;Noviembre;2018
Azua;1,885;802,324,112;Noviembre;2018
Santo Domingo;2,002;2,107,503,604;Diciembre;2018
Monte Plata;1,634;1,869,409,326;Diciembre;2018
Hato Mayor;1,177;1,007,852,644;Diciembre;2018
El Seibo;1,078;433,736,990;Diciembre;2018
Higuey;963;727,840,231;Diciembre;2018
San Juan de la Maguana ;4,255;1,511,586,121;Diciembre;2018
Barahona;1,973;691,842,909;Diciembre;2018
Neyba;1,570;542,724,360;Diciembre;2018
Comendador;1,970;311,591,980;Diciembre;2018
San Francisco de Macoris;892;941,062,552;Diciembre;2018
Cotui;1,856;1,342,688,057;Diciembre;2018
Villa Riva;1,185;455,158,216;Diciembre;2018
Arenoso;804;363,229,611;Diciembre;2018
Rio San Juan;1,144;511,663,056;Diciembre;2018
Nagua;1,092;480,782,002;Diciembre;2018
Samana;1,224;328,174,520;Diciembre;2018
La Vega;945;1,128,720,799;Diciembre;2018
Bonao;495;430,137,395;Diciembre;2018
Constanza;1,060;855,655,510;Diciembre;2018
Salcedo;808;458,313,779;Diciembre;2018
Moca;831;750,295,612;Diciembre;2018
Santiago;489;523,842,218;Diciembre;2018
Valverde Mao;1,048;1,846,647,418;Diciembre;2018
Montecristy;972;979,708,568;Diciembre;2018
Santiago Rodriguez;1,466;834,647,808;Diciembre;2018
Dajabón;1,165;569,307,750;Diciembre;2018
San Jose de las Matas;908;690,029,265;Diciembre;2018
Puerto Plata;1,834;637,818,850;Diciembre;2018
San Cristobal;1,165;826,717,960;Diciembre;2018
Bani;710;729,639,649;Diciembre;2018
San Jose de Ocoa;1,156;2,159,847,025;Diciembre;2018
Azua;1,871;846,191,793;Diciembre;2018
Santo Domingo;1,996;2,060,784,952;Enero;2019
Monte Plata;1,136;834,954,567;Enero;2019
Hato Mayor;1,644;1,875,553,104;Enero;2019
El Seibo;1,212;1,004,787,265;Enero;2019
Higuey;1,088;435,248,453;Enero;2019
San Juan de la Maguana ;972;736,393,544;Enero;2019
Barahona;4,258;1,512,614,813;Enero;2019
Neyba;688;731,358,012;Enero;2019
Comendador;1,140;2,187,897,001;Enero;2019
San Francisco de Macoris;1,859;817,545,310;Enero;2019
Cotui;1,970;696,549,043;Enero;2019
Villa Riva;1,555;543,398,832;Enero;2019
Arenoso;1,937;311,259,178;Enero;2019
Rio San Juan;949;935,790,571;Enero;2019
Nagua;1,919;1,380,387,961;Enero;2019
Samana;1,211;480,974,778;Enero;2019
La Vega;837;364,745,215;Enero;2019
Bonao;1,148;507,544,001;Enero;2019
Constanza;1,153;494,705,719;Enero;2019
Salcedo;1,219;329,265,342;Enero;2019
Moca;1,012;1,110,197,227;Enero;2019
Santiago;518;430,444,255;Enero;2019
Valverde Mao;1,059;867,933,781;Enero;2019
Montecristy;819;473,600,905;Enero;2019
Santiago Rodriguez;813;734,498,138;Enero;2019
Dajabón;504;507,137,374;Enero;2019
San Jose de las Matas;1,066;1,846,806,699;Enero;2019
Puerto Plata;1,032;966,875,112;Enero;2019
San Cristobal;1,435;817,470,972;Enero;2019
Bani;1,177;573,936,257;Enero;2019
San Jose de Ocoa;896;679,975,204;Enero;2019
Azua;1,882;632,160,807;Enero;2019
Santo Domingo;2,000;2,088,823,812;Febrero;2019
Monte Plata;1,108;859,524,152;Febrero;2019
Hato Mayor;1,645;1,956,877,984;Febrero;2019
El Seibo;1,185;1,008,172,545;Febrero;2019
Higuey;1,099;423,565,961;Febrero;2019
San Juan de la Maguana ;956;735,092,274;Febrero;2019
Barahona;4,150;1,490,219,580;Febrero;2019
Neyba;672;728,901,740;Febrero;2019
Comendador;1,148;2,194,273,874;Febrero;2019
San Francisco de Macoris;1,943;819,082,154;Febrero;2019
Cotui;1,958;706,687,970;Febrero;2019
Villa Riva;1,562;542,971,661;Febrero;2019
Arenoso;1,908;306,120,406;Febrero;2019
Rio San Juan;959;962,645,946;Febrero;2019
Nagua;1,917;1,429,032,319;Febrero;2019
Samana;1,215;483,631,580;Febrero;2019
La Vega;851;374,875,830;Febrero;2019
Bonao;1,150;508,162,894;Febrero;2019
Constanza;1,162;513,069,113;Febrero;2019
Salcedo;1,188;323,929,000;Febrero;2019
Moca;1,034;1,100,527,586;Febrero;2019
Santiago;519;429,779,327;Febrero;2019
Valverde Mao;1,045;853,147,482;Febrero;2019
Montecristy;817;478,999,834;Febrero;2019
Santiago Rodriguez;849;722,575,772;Febrero;2019
Dajabón;515;510,905,704;Febrero;2019
San Jose de las Matas;1,072;1,827,652,194;Febrero;2019
Puerto Plata;1,036;967,634,182;Febrero;2019
San Cristobal;1,444;832,801,910;Febrero;2019
Bani;1,175;564,602,517;Febrero;2019
San Jose de Ocoa;884;680,058,423;Febrero;2019
Azua;1,889;637,573,125;Febrero;2019
Santo Domingo;2,012;1,993,507,041;Marzo;2019
Monte Plata;1,088;867,617,600;Marzo;2019
Hato Mayor;1,641;2,000,916,822;Marzo;2019
El Seibo;1,235;1,025,587,881;Marzo;2019
Higuey;1,088;425,021,234;Marzo;2019
San Juan de la Maguana ;939;740,460,084;Marzo;2019
Barahona;4,113;1,529,510,710;Marzo;2019
Neyba;655;773,460,694;Marzo;2019
Comendador;1,123;2,184,097,175;Marzo;2019
San Francisco de Macoris;1,917;820,100,477;Marzo;2019
Cotui;1,939;723,061,965;Marzo;2019
Villa Riva;1,566;543,850,759;Marzo;2019
Arenoso;1,901;315,043,242;Marzo;2019
Rio San Juan;945;958,339,475;Marzo;2019
Nagua;1,823;1,404,242,300;Marzo;2019
Samana;1,153;485,917,781;Marzo;2019
La Vega;769;371,445,328;Marzo;2019
Bonao;1,071;504,382,596;Marzo;2019
Constanza;952;488,225,909;Marzo;2019
Salcedo;1,080;307,573,411;Marzo;2019
Moca;1,035;1,072,867,876;Marzo;2019
Santiago;505;433,544,390;Marzo;2019
Valverde Mao;1,036;882,764,935;Marzo;2019
Montecristy;815;488,276,894;Marzo;2019
Santiago Rodriguez;843;735,038,143;Marzo;2019
Dajabón;500;501,997,448;Marzo;2019
San Jose de las Matas;1,058;1,868,186,637;Marzo;2019
Puerto Plata;1,008;963,133,766;Marzo;2019
San Cristobal;1,426;803,318,466;Marzo;2019
Bani;1,172;559,971,172;Marzo;2019
San Jose de Ocoa;875;645,597,517;Marzo;2019
Azua;1,869;632,614,853;Marzo;2019
Santo Domingo;1,966;1,714,606,202;Abril;2019
Monte Plata;1,085;835,416,744;Abril;2019
Hato Mayor;1,628;1,954,247,335;Abril;2019
El Seibo;1,212;1,029,692,937;Abril;2019
Higuey;1,041;397,178,792;Abril;2019
San Juan de la Maguana ;911;747,969,639;Abril;2019
Barahona;3,701;1,519,529,348;Abril;2019
Neyba;607;768,399,936;Abril;2019
Comendador;1,054;2,171,144,509;Abril;2019
San Francisco de Macoris;1,808;816,680,946;Abril;2019
Cotui;1,659;702,009,703;Abril;2019
Villa Riva;1,479;539,907,360;Abril;2019
Arenoso;1,658;300,545,243;Abril;2019
Rio San Juan;871;936,451,364;Abril;2019
Nagua;1,810;1,434,179,507;Abril;2019
Samana;1,004;437,098,006;Abril;2019
La Vega;635;335,567,085;Abril;2019
Bonao;1,051;503,934,670;Abril;2019
Constanza;731;451,203,303;Abril;2019
Salcedo;1,077;304,134,101;Abril;2019
Moca;879;1,040,692,090;Abril;2019
Santiago;485;471,065,800;Abril;2019
Valverde Mao;1,036;891,321,373;Abril;2019
Montecristy;800;482,998,254;Abril;2019
Santiago Rodriguez;826;729,335,133;Abril;2019
Dajabón;463;540,947,907;Abril;2019
San Jose de las Matas;984;1,848,813,406;Abril;2019
Puerto Plata;930;995,798,560;Abril;2019
San Cristobal;1,417;802,082,949;Abril;2019
Bani;1,128;555,014,530;Abril;2019
San Jose de Ocoa;872;642,892,226;Abril;2019
Azua;1,826;622,917,375;Abril;2019
Santo Domingo;1,950;1,686,321,647;Mayo;2019
Monte Plata;1,075;840,873,706;Mayo;2019
Hato Mayor;1,611;1,978,059,267;Mayo;2019
El Seibo;1,207;1,070,023,022;Mayo;2019
Higuey;1,013;408,357,260;Mayo;2019
San Juan de la Maguana ;934;755,857,463;Mayo;2019
Barahona;3,653;1,609,912,530;Mayo;2019
Neyba;610;774,182,198;Mayo;2019
Comendador;1,082;2,220,790,335;Mayo;2019
San Francisco de Macoris;1,783;742,095,418;Mayo;2019
Cotui;1,676;703,276,060;Mayo;2019
Villa Riva;1,481;546,069,381;Mayo;2019
Arenoso;1,660;302,755,396;Mayo;2019
Rio San Juan;797;914,745,483;Mayo;2019
Nagua;1,617;1,428,600,128;Mayo;2019
Samana;1,076;394,055,079;Mayo;2019
La Vega;649;322,802,092;Mayo;2019
Bonao;1,021;497,352,108;Mayo;2019
Constanza;743;441,626,799;Mayo;2019
Salcedo;1,040;295,430,223;Mayo;2019
Moca;758;1,155,643,930;Mayo;2019
Santiago;446;471,899,432;Mayo;2019
Valverde Mao;1,017;826,311,905;Mayo;2019
Montecristy;803;473,551,602;Mayo;2019
Santiago Rodriguez;833;818,309,631;Mayo;2019
Dajabón;515;587,009,002;Mayo;2019
San Jose de las Matas;929;1,928,006,368;Mayo;2019
Puerto Plata;918;944,522,366;Mayo;2019
San Cristobal;1,424;826,328,531;Mayo;2019
Bani;1,128;555,972,980;Mayo;2019
San Jose de Ocoa;889;639,803,486;Mayo;2019
Azua;1,793;642,758,181;Mayo;2019
Santo Domingo;1,829;1,646,194,216;Junio;2019
Monte Plata;890;751,233,249;Junio;2019
Hato Mayor;1,548;1,836,996,715;Junio;2019
El Seibo;1,213;1,081,006,958;Junio;2019
Higuey;985;411,636,417;Junio;2019
San Juan de la Maguana ;966;779,890,774;Junio;2019
Barahona;3,684;1,635,361,777;Junio;2019
Neyba;600;779,774,447;Junio;2019
Comendador;1,088;2,286,082,712;Junio;2019
San Francisco de Macoris;1,744;701,490,515;Junio;2019
Cotui;1,658;705,846,002;Junio;2019
Villa Riva;1,489;551,536,870;Junio;2019
Arenoso;1,655;298,856,444;Junio;2019
Rio San Juan;841;908,204,655;Junio;2019
Nagua;1,645;1,426,287,022;Junio;2019
Samana;1,088;357,678,098;Junio;2019
La Vega;712;385,916,554;Junio;2019
Bonao;1,010;519,731,427;Junio;2019
Constanza;807;390,751,453;Junio;2019
Salcedo;1,019;289,228,835;Junio;2019
Moca;817;1,114,828,234;Junio;2019
Santiago;429;470,423,726;Junio;2019
Valverde Mao;899;860,745,441;Junio;2019
Montecristy;785;436,203,594;Junio;2019
Santiago Rodriguez;805;813,468,165;Junio;2019
Dajabón;493;565,263,778;Junio;2019
San Jose de las Matas;997;1,896,384,203;Junio;2019
Puerto Plata;1,072;963,490,048;Junio;2019
San Cristobal;1,417;764,614,320;Junio;2019
Bani;1,160;557,822,770;Junio;2019
San Jose de Ocoa;895;640,204,058;Junio;2019
Azua;1,764;638,204,907;Junio;2019
Santo Domingo;1,794;1,683,175,798;Julio;2019
Monte Plata;894;731,848,565;Julio;2019
Hato Mayor;1,544;1,798,695,876;Julio;2019
El Seibo;1,213;1,078,719,354;Julio;2019
Higuey;959;401,396,204;Julio;2019
San Juan de la Maguana ;946;774,866,491;Julio;2019
Barahona;3,258;1,596,465,140;Julio;2019
Neyba;593;767,189,062;Julio;2019
Comendador;1,109;2,365,473,518;Julio;2019
San Francisco de Macoris;1,720;709,265,448;Julio;2019
Cotui;1,621;743,134,964;Julio;2019
Villa Riva;1,524;549,721,080;Julio;2019
Arenoso;1,627;303,663,076;Julio;2019
Rio San Juan;864;918,995,497;Julio;2019
Nagua;1,707;1,388,028,271;Julio;2019
Samana;1,030;347,808,915;Julio;2019
La Vega;723;395,313,858;Julio;2019
Bonao;999;513,199,619;Julio;2019
Constanza;811;389,432,176;Julio;2019
Salcedo;1,004;283,420,715;Julio;2019
Moca;862;1,091,380,618;Julio;2019
Santiago;435;417,213,525;Julio;2019
Valverde Mao;881;1,084,059,675;Julio;2019
Montecristy;790;455,080,461;Julio;2019
Santiago Rodriguez;784;839,048,866;Julio;2019
Dajabón;467;549,566,386;Julio;2019
San Jose de las Matas;1,005;1,855,467,408;Julio;2019
Puerto Plata;1,070;969,953,556;Julio;2019
San Cristobal;1,471;752,021,958;Julio;2019
Bani;1,157;553,616,276;Julio;2019
San Jose de Ocoa;892;640,409,289;Julio;2019
Azua;1,743;641,591,917;Julio;2019
Santo Domingo;1,748;1,965,325,497;Agosto;2019
Monte Plata;894;742,379,033;Agosto;2019
Hato Mayor;1,556;1,883,996,873;Agosto;2019
El Seibo;1,191;1,078,330,146;Agosto;2019
Higuey;933;384,301,556;Agosto;2019
San Juan de la Maguana ;917;788,646,975;Agosto;2019
Barahona;3,257;1,614,307,375;Agosto;2019
Neyba;585;794,290,481;Agosto;2019
Comendador;1,115;2,429,904,974;Agosto;2019
San Francisco de Macoris;1,685;683,383,378;Agosto;2019
Cotui;1,558;733,312,539;Agosto;2019
Villa Riva;1,540;552,776,422;Agosto;2019
Arenoso;1,622;306,128,223;Agosto;2019
Rio San Juan;821;839,511,965;Agosto;2019
Nagua;1,698;1,429,036,907;Agosto;2019
Samana;936;325,911,066;Agosto;2019
La Vega;634;365,843,738;Agosto;2019
Bonao;1,118;507,194,672;Agosto;2019
Constanza;704;364,471,109;Agosto;2019
Salcedo;985;273,076,445;Agosto;2019
Moca;765;1,111,509,300;Agosto;2019
Santiago;423;418,757,397;Agosto;2019
Valverde Mao;877;1,020,497,805;Agosto;2019
Montecristy;787;461,423,549;Agosto;2019
Santiago Rodriguez;740;836,148,094;Agosto;2019
Dajabón;444;564,233,897;Agosto;2019
San Jose de las Matas;986;1,809,003,192;Agosto;2019
Puerto Plata;1,054;966,054,143;Agosto;2019
San Cristobal;1,472;752,551,254;Agosto;2019
Bani;1,144;550,320,776;Agosto;2019
San Jose de Ocoa;886;693,596,404;Agosto;2019
Azua;1,707;626,488,267;Agosto;2019
Santo Domingo;1,727;1,981,187,843;Septiembre;2019
Monte Plata;880;751,925,381;Septiembre;2019
Hato Mayor;1,570;1,880,147,288;Septiembre;2019
El Seibo;1,193;1,077,766,779;Septiembre;2019
Higuey;931;400,615,066;Septiembre;2019
San Juan de la Maguana ;892;795,001,654;Septiembre;2019
Barahona;3,229;1,626,394,840;Septiembre;2019
Neyba;586;799,428,869;Septiembre;2019
Comendador;1,121;2,507,150,864;Septiembre;2019
San Francisco de Macoris;1,669;693,589,630;Septiembre;2019
Cotui;1,536;731,988,330;Septiembre;2019
Villa Riva;1,545;559,658,646;Septiembre;2019
Arenoso;1,629;310,837,290;Septiembre;2019
Rio San Juan;782;807,910,859;Septiembre;2019
Nagua;1,634;1,435,421,880;Septiembre;2019
Samana;908;314,990,158;Septiembre;2019
La Vega;551;330,760,770;Septiembre;2019
Bonao;1,106;533,789,900;Septiembre;2019
Constanza;648;352,849,723;Septiembre;2019
Salcedo;954;266,331,752;Septiembre;2019
Moca;689;1,131,275,754;Septiembre;2019
Santiago;415;419,116,226;Septiembre;2019
Valverde Mao;863;1,003,319,538;Septiembre;2019
Montecristy;782;464,534,754;Septiembre;2019
Santiago Rodriguez;722;887,521,522;Septiembre;2019
Dajabón;423;519,841,264;Septiembre;2019
San Jose de las Matas;931;1,720,986,274;Septiembre;2019
Puerto Plata;1,020;952,702,675;Septiembre;2019
San Cristobal;1,457;753,248,792;Septiembre;2019
Bani;1,150;552,024,154;Septiembre;2019
San Jose de Ocoa;898;694,548,795;Septiembre;2019
Azua;1,693;618,430,188;Septiembre;2019
Santo Domingo;1,807;2,143,401,217;Octubre;2019
Monte Plata;898;786,276,557;Octubre;2019
Hato Mayor;1,577;1,991,475,281;Octubre;2019
El Seybo;1,222;1,099,228,686;Octubre;2019
Higuey;962;435,911,050;Octubre;2019
San Juan de la Maguana ;914;825,429,124;Octubre;2019
Barahona;3,343;1,662,898,039;Octubre;2019
Neyba;593;825,349,720;Octubre;2019
Comendador;1,116;2,561,822,686;Octubre;2019
San Francisco de Macoris;1,674;737,917,408;Octubre;2019
Cotui;1,540;748,067,749;Octubre;2019
Villa Riva;1,548;564,548,282;Octubre;2019
Arenoso;1,617;312,627,610;Octubre;2019
Rio San Juan;750;801,371,456;Octubre;2019
Nagua;1,569;1,406,368,608;Octubre;2019
Samana;875;399,804,361;Octubre;2019
La Vega;494;308,837,109;Octubre;2019
Bonao;1,102;538,307,718;Octubre;2019
Constanza;599;427,802,379;Octubre;2019
Salcedo;946;264,643,463;Octubre;2019
Moca;629;1,077,508,141;Octubre;2019
Santiago;376;439,345,454;Octubre;2019
Valverde Mao;865;940,494,343;Octubre;2019
Montecristi;816;470,616,031;Octubre;2019
Santiago Rodriguez;725;926,193,920;Octubre;2019
Dajabon;458;555,304,818;Octubre;2019
San Jose de las Matas;876;1,652,309,678;Octubre;2019
Puerto Plata;951;922,927,047;Octubre;2019
San Cristobal;1,435;806,874,696;Octubre;2019
Bani;1,141;566,043,945;Octubre;2019
San Jose de Ocoa;904;688,045,630;Octubre;2019
Azua;1,702;643,763,471;Octubre;2019
Santo Domingo;1,863;2,218,945,975;Noviembre;2019
San Cristóbal;916;834,170,023;Noviembre;2019
Monte Plata;1,591;2,121,867,816;Noviembre;2019
Hato Mayor;1,252;1,130,734,457;Noviembre;2019
El Seybo;988;446,541,683;Noviembre;2019
Higuey;952;830,519,875;Noviembre;2019
San Juan de la Maguana ;3,363;1,674,973,153;Noviembre;2019
Baní;602;824,466,877;Noviembre;2019
San José de Ocoa;1,109;2,556,788,717;Noviembre;2019
Azua;1,694;824,457,713;Noviembre;2019
Barahona;1,551;762,020,157;Noviembre;2019
Neyba;1,565;578,198,876;Noviembre;2019
Comendador;1,601;314,532,457;Noviembre;2019
San Francisco de Macorís;775;882,249,402;Noviembre;2019
Cotuí;1,502;1,359,311,002;Noviembre;2019
Villa Riva;1,008;442,995,885;Noviembre;2019
Arenoso;563;351,780,442;Noviembre;2019
Rio San Juan;1,108;553,922,564;Noviembre;2019
Nagua;642;435,044,904;Noviembre;2019
Samaná;949;269,032,682;Noviembre;2019
La Vega;752;1,104,997,531;Noviembre;2019
Bonao;388;436,722,790;Noviembre;2019
Constanza;872;952,186,576;Noviembre;2019
Salcedo;823;480,105,640;Noviembre;2019
Moca;708;940,412,274;Noviembre;2019
Santiago;470;583,138,380;Noviembre;2019
Valverde Mao;873;1,614,400,455;Noviembre;2019
Montecristy;1,001;936,447,013;Noviembre;2019
Santiago Rodríguez;1,421;806,851,653;Noviembre;2019
Dajabón;1,135;562,842,585;Noviembre;2019
San José de las Matas;896;680,677,027;Noviembre;2019
Puerto Plata;1,723;666,370,607;Noviembre;2019
Santo Domingo;2,075;2,776,359,362;Diciembre;2019
San Cristóbal;922;858,188,711;Diciembre;2019
Monte Plata;1,591;2,268,985,539;Diciembre;2019
Hato Mayor;1,293;1,149,232,958;Diciembre;2019
El Seybo;1,001;449,023,266;Diciembre;2019
Higuey;958;818,530,784;Diciembre;2019
San Juan de la Maguana ;3,462;1,702,441,857;Diciembre;2019
Baní;606;843,472,489;Diciembre;2019
San José de Ocoa;1,108;2,590,467,255;Diciembre;2019
Azua;1,719;899,190,349;Diciembre;2019
Barahona;1,578;784,463,244;Diciembre;2019
Neyba;1,566;588,820,008;Diciembre;2019
Comendador;1,577;317,157,808;Diciembre;2019
San Francisco de Macorís;900;911,044,711;Diciembre;2019
Cotuí;1,647;1,364,382,272;Diciembre;2019
Villa Riva;1,036;451,603,070;Diciembre;2019
Arenoso;673;386,658,089;Diciembre;2019
Rio San Juan;1,099;574,748,987;Diciembre;2019
Nagua;790;466,699,427;Diciembre;2019
Samaná;862;250,371,220;Diciembre;2019
La Vega;871;1,066,071,426;Diciembre;2019
Bonao;428;448,811,979;Diciembre;2019
Constanza;783;867,506,849;Diciembre;2019
Salcedo;653;488,382,109;Diciembre;2019
Moca;791;946,448,446;Diciembre;2019
Santiago;488;628,665,330;Diciembre;2019
Valverde Mao;958;1,609,690,763;Diciembre;2019
Montecristy;1,130;957,121,140;Diciembre;2019
Santiago Rodríguez;1,408;832,896,312;Diciembre;2019
Dajabón;1,180;577,127,351;Diciembre;2019
San José de las Matas;902;687,318,708;Diciembre;2019
Puerto Plata;1,743;685,886,513;Diciembre;2019
Santo Domingo;1,665;2,747,442,226;Enero;2020
San Cristóbal;687;867,443,263;Enero;2020
Monte Plata;1,334;2,350,046,945;Enero;2020
Hato Mayor;1,226;1,164,731,179;Enero;2020
El Seybo;893;461,332,283;Enero;2020
Higuey;844;804,937,387;Enero;2020
San Juan de la Maguana ;1,367;1,732,435,039;Enero;2020
Baní;500;849,248,514;Enero;2020
San José de Ocoa;829;2,611,442,640;Enero;2020
Azua;1,071;906,860,480;Enero;2020
Barahona;857;787,597,534;Enero;2020
Neyba;1,220;586,824,347;Enero;2020
Comendador;1,308;322,617,152;Enero;2020
San Francisco de Macorís;906;928,290,087;Enero;2020
Cotuí;1,379;1,380,352,900;Enero;2020
Villa Riva;904;461,465,982;Enero;2020
Arenoso;635;393,036,681;Enero;2020
Rio San Juan;976;580,712,539;Enero;2020
Nagua;736;485,810,018;Enero;2020
Samaná;621;250,354,656;Enero;2020
La Vega;780;1,060,672,489;Enero;2020
Bonao;389;427,561,470;Enero;2020
Constanza;449;864,249,023;Enero;2020
Salcedo;646;476,487,009;Enero;2020
Moca;726;954,784,741;Enero;2020
Santiago;481;653,408,260;Enero;2020
Valverde Mao;731;1,575,988,994;Enero;2020
Montecristy;936;976,762,450;Enero;2020
Santiago Rodríguez;1,241;839,072,832;Enero;2020
Dajabón;1,021;583,300,956;Enero;2020
San José de las Matas;864;683,755,947;Enero;2020
Puerto Plata;1,511;684,849,238;Enero;2020
Santo Domingo;2,144;2,430,855,903;Febrero;2020
San Cristóbal;879;837,722,018;Febrero;2020
Monte Plata;1,601;2,233,727,099;Febrero;2020
Hato Mayor;1,257;1,176,134,184;Febrero;2020
El Seybo;999;461,409,041;Febrero;2020
Higüey;967;801,603,567;Febrero;2020
San Juan de la Maguana;3,385;1,770,866,488;Febrero;2020
Baní;605;860,298,859;Febrero;2020
San José de Ocoa;1,097;2,618,891,395;Febrero;2020
Azua;1,740;885,110,908;Febrero;2020
Barahona;1,575;829,952,781;Febrero;2020
Neyba;1,579;591,163,304;Febrero;2020
Comendador;1,571;331,091,109;Febrero;2020
San Fco. Macorís;932;927,534,047;Febrero;2020
Cotuí;1,680;1,376,957,453;Febrero;2020
Villa Riva;1,046;461,381,491;Febrero;2020
Arenoso;705;392,731,905;Febrero;2020
Río San Juan;1,099;586,366,864;Febrero;2020
Nagua;821;495,524,391;Febrero;2020
Samaná;846;246,919,805;Febrero;2020
La Vega;912;1,020,842,025;Febrero;2020
Bonao;445;439,105,966;Febrero;2020
Constanza;792;863,516,035;Febrero;2020
Salcedo;663;495,597,626;Febrero;2020
Moca;783;957,018,058;Febrero;2020
Santiago;490;603,298,423;Febrero;2020
Valverde Mao;960;1,553,335,405;Febrero;2020
Montecristi;1,181;967,630,624;Febrero;2020
Santiago Rodríguez;1,388;807,768,760;Febrero;2020
Dajabon;1,173;590,551,086;Febrero;2020
San Jose de las Matas;899;687,082,641;Febrero;2020
Puerto Plata;1,740;678,407,576;Marzo;2020
Santo Domingo;2,097;2,509,965,859;Marzo;2020
San Cristobal;838;833,313,997;Marzo;2020
Monte Plata;1,595;2,334,156,001;Marzo;2020
Hato Mayor;1,232;1,152,509,376;Marzo;2020
El Seybo;997;458,996,723;Marzo;2020
Higüey;966;807,549,340;Marzo;2020
San Juan de la Maguana;3,356;1,796,677,263;Marzo;2020
Bani;607;864,550,145;Marzo;2020
San Jose de Ocoa;1,086;2,632,059,772;Marzo;2020
Azua;1,742;875,534,470;Marzo;2020
Barahona;1,532;814,849,106;Marzo;2020
Neyba;1,561;576,101,396;Marzo;2020
Comendador;1,564;329,170,441;Marzo;2020
San Fco. Macorís;925;964,952,247;Marzo;2020
Cotuí;1,680;1,336,373,353;Marzo;2020
Villa Riva;1,025;452,524,076;Marzo;2020
Arenoso;700;388,378,661;Marzo;2020
Río San Juan;1,103;602,599,192;Marzo;2020
Nagua;807;497,695,024;Marzo;2020
Samana;844;247,491,070;Marzo;2020
La Vega;903;984,526,294;Marzo;2020
Bonao;432;437,132,401;Marzo;2020
Constanza;790;864,188,722;Marzo;2020
Salcedo;650;485,803,081;Marzo;2020
Moca;763;941,505,009;Marzo;2020
Santiago;467;552,888,680;Marzo;2020
