DESTINO; CANTIDAD ; VALORES ;  TAREAS; BENEFICIADOS ;MES;AÑO
Coco (Producción);8;2,080,000;985;8;Junio;2017
Coco (Comercialización);0;0;0;0;Junio;2017
Guandul (Producción);5;630,000;460;5;Junio;2017
Guandul (Comercialización);0;0;0;0;Junio;2017
Papa;27;26,097,400;1,123;27;Junio;2017
Piña;19;9,667,500;1,058;19;Junio;2017
Cebolla;10;9,295,000;553;10;Junio;2017
Ñame;11;2,655,487;414;11;Junio;2017
Ajo (Producción);0;0;0;0;Junio;2017
Ajo (Comercialización);1;35,000,000;0;1;Junio;2017
Batata;5;610,000;295;5;Junio;2017
Tabaco (Producción);0;0;0;0;Junio;2017
Tabaco (Comercialización);6;1,685,000;0;6;Junio;2017
Invernadero;8;73,737,118;82;8;Junio;2017
Otros Agrícolas;122;121,568,382;13,500;122;Junio;2017
Ganado de Carne;76;63,942,000;0;76;Junio;2017
Ganado de Carne (Com);9;17,645,000;0;9;Junio;2017
Ganado de Leche;24;41,431,000;0;68;Junio;2017
Ganado de Leche (Com.);0;0;0;0;Junio;2017
Ganado de Doble Propósito;51;31,673,000;0;51;Junio;2017
Porcino (Producción);85;37,388,000;0;85;Junio;2017
Porcino (Comercialización);0;0;0;0;Junio;2017
Otros Pecuarios;52;94,956,869;0;52;Junio;2017
Gallinas Ponedoras;2;18,600,000;0;2;Junio;2017
Pollos de Engorde;49;27,763,193;0;49;Junio;2017
Otros Avícolas;1;300,000;0;1;Junio;2017
Apícola;3;9,064,106;0;3;Junio;2017
Préstamos de Consumo;173;39,124,096;0;173;Junio;2017
Agro. Manufactura, Comercio V. y Otros;346;322,532,080;0;346;Junio;2017
Arroz (Producción);425;230,280,013;49,811;425;Julio;2017
Arroz (Comercialización);6;29,386,000;0;6;Julio;2017
Aguacate (Producción);31;9,420,000;1,200;31;Julio;2017
Ají (Producción);22;58,256,700;3,324;22;Julio;2017
Café (Producción);19;12,980,000;1,789;19;Julio;2017
Café (Comercialización);0;0;0;0;Julio;2017
Cacao (Producción);202;69,823,000;32,200;202;Julio;2017
Cacao (Comercialización);5;3,415,000;0;5;Julio;2017
Habichuela (Producción);0;0;0;0;Julio;2017
Habichuela (Comercialización);0;0;0;0;Julio;2017
Plátano;58;23,130,356;4,266;58;Julio;2017
Guineo;5;4,008,000;397;5;Julio;2017
Maíz (Producción);5;290,000;172;5;Julio;2017
Maíz (Comercialización);0;0;0;0;Julio;2017
Yuca;7;1,415,000;555;7;Julio;2017
Yautía;21;5,305,000;636;21;Julio;2017
Tomate Industrial;0;0;0;0;Julio;2017
Tomate de Mesa;15;2,755,000;187;15;Julio;2017
Coco (Producción);4;450,000;193;4;Julio;2017
Coco (Comercialización);0;0;0;0;Julio;2017
Guandul (Producción);1;100,000;30;1;Julio;2017
Guandul (Comercialización);0;0;0;0;Julio;2017
Papa;20;18,322,120;833;20;Julio;2017
Piña;13;5,335,000;742;13;Julio;2017
Cebolla;6;7,186,000;342;6;Julio;2017
Ñame;3;395,000;80;3;Julio;2017
Ajo (Producción);2;3,395,000;93;2;Julio;2017
Ajo (Comercialización);0;0;0;0;Julio;2017
Batata;5;3,488,000;913;5;Julio;2017
Tabaco (Producción);0;0;0;0;Julio;2017
Tabaco (Comercialización);1;225,000;0;1;Julio;2017
Invernadero;3;28,069,210;41;3;Julio;2017
Otros Agrícolas;108;51,222,277;9,405;108;Julio;2017
Ganado de Carne;73;42,850,000;0;73;Julio;2017
Ganado de Carne (Com);5;8,900,000;0;5;Julio;2017
Ganado de Leche;19;16,807,000;0;19;Julio;2017
Ganado de Leche (Com.);0;0;0;0;Julio;2017
Ganado de Doble Propósito;51;48,247,000;0;51;Julio;2017
Porcino (Producción);53;62,576,042;0;53;Julio;2017
Porcino (Comercialización);1;200,000;0;1;Julio;2017
Otros Pecuarios;53;196,630,486;0;53;Julio;2017
Gallinas Ponedoras;2;4,900,000;0;2;Julio;2017
Pollos de Engorde;50;51,067,000;0;50;Julio;2017
Otros Avícolas;0;0;0;0;Julio;2017
Apícola;2;300,000;0;2;Julio;2017
Préstamos de Consumo;181;33,542,402;0;181;Julio;2017
Agro. Manufactura, Comercio V. y Otros;256;186,226,608;0;256;Julio;2017
Arroz (Producción);124;91,817,100;19,140;124;Agosto;2017
Arroz (Comercialización);11;80,252,000;0;11;Agosto;2017
Aguacate (Producción);32;9,118,000;1,305;32;Agosto;2017
Ají (Producción);23;19,490,000;328;23;Agosto;2017
Café (Producción);25;4,875,000;1,850;25;Agosto;2017
Café (Comercialización);0;0;0;0;Agosto;2017
Cacao (Producción);138;53,932,000;17,354;138;Agosto;2017
Cacao (Comercialización);4;13,700,000;0;4;Agosto;2017
Habichuela (Producción);0;0;0;0;Agosto;2017
Habichuela (Comercialización);1;10,000,000;0;1;Agosto;2017
Plátano;40;21,738,000;3,078;40;Agosto;2017
Guineo;4;1,740,000;175;4;Agosto;2017
Maíz (Producción);4;950,000;530;4;Agosto;2017
Maíz (Comercialización);0;0;0;0;Agosto;2017
Yuca;13;1,614,000;592;13;Agosto;2017
Yautía;13;2,895,000;454;13;Agosto;2017
Tomate Industrial;0;0;0;0;Agosto;2017
Tomate de Mesa;15;4,825,000;216;15;Agosto;2017
Coco (Producción);4;1,937,500;694;4;Agosto;2017
Coco (Comercialización);1;100,000;0;1;Agosto;2017
Guandul (Producción);2;350,000;220;2;Agosto;2017
Guandul (Comercialización);0;0;0;0;Agosto;2017
Papa;26;19,560,000;886;26;Agosto;2017
Piña;21;20,794,000;1,328;21;Agosto;2017
Cebolla;15;9,558,800;536;15;Agosto;2017
Ñame;16;3,220,000;539;16;Agosto;2017
Ajo (Producción);1;800,000;23;1;Agosto;2017
Ajo (Comercialización);0;0;0;0;Agosto;2017
Batata;6;380,000;125;6;Agosto;2017
Tabaco (Producción);0;0;0;0;Agosto;2017
Tabaco (Comercialización);2;450,000;0;2;Agosto;2017
Invernadero;3;13,862,854;16;3;Agosto;2017
Otros Agrícolas;84;54,256,084;13,661;84;Agosto;2017
Ganado de Carne;83;85,147,000;0;83;Agosto;2017
Ganado de Carne (Com);7;11,130,000;0;7;Agosto;2017
Ganado de Leche;40;50,197,000;0;40;Agosto;2017
Ganado de Leche (Com.);0;0;0;0;Agosto;2017
Ganado de Doble Propósito;45;48,940,000;0;45;Agosto;2017
Porcino (Producción);54;24,945,000;0;54;Agosto;2017
Porcino (Comercialización);0;0;0;0;Agosto;2017
Otros Pecuarios;46;23,064,043;0;46;Agosto;2017
Gallinas Ponedoras;3;15,580,000;0;3;Agosto;2017
Pollos de Engorde;60;33,080,000;0;60;Agosto;2017
Otros Avícolas;0;0;0;0;Agosto;2017
Apícola;4;550,000;0;4;Agosto;2017
Préstamos de Consumo;223;31,277,695;0;223;Agosto;2017
Agro. Manufactura, Comercio V. y Otros;126;131,496,999;0;126;Agosto;2017
Arroz (Producción);14;341,151,600;4,712;14;Septiembre;2017
Arroz (Comercialización);5;61,730,000;0;5;Septiembre;2017
Aguacate (Producción);11;2,655,000;480;11;Septiembre;2017
Ají (Producción);9;13,693,750;138;9;Septiembre;2017
Café (Producción);0;0;0;0;Septiembre;2017
Café (Comercialización);0;0;0;0;Septiembre;2017
Cacao (Producción);112;41,642,228;13,644;112;Septiembre;2017
Cacao (Comercialización);5;56,850,000;0;5;Septiembre;2017
Habichuela (Producción);0;0;0;0;Septiembre;2017
Habichuela (Comercialización);0;0;0;0;Septiembre;2017
Plátano;31;7,584,650;1,788;31;Septiembre;2017
Guineo;8;26,948,979;3,321;8;Septiembre;2017
Maíz (Producción);0;0;0;0;Septiembre;2017
Maíz (Comercialización);0;0;0;0;Septiembre;2017
Yuca;9;4,275,000;935;9;Septiembre;2017
Yautía;15;8,246,120;1,034;15;Septiembre;2017
Tomate Industrial;1;125,000;20;1;Septiembre;2017
Tomate de Mesa;23;14,080,000;476;23;Septiembre;2017
Coco (Producción);1;12,500,000;3,421;1;Septiembre;2017
Coco (Comercialización);0;0;0;0;Septiembre;2017
Guandul (Producción);0;0;0;0;Septiembre;2017
Guandul (Comercialización);0;0;0;0;Septiembre;2017
Papa;17;26,490,500;1,053;17;Septiembre;2017
Piña;12;18,355,000;1,577;12;Septiembre;2017
Cebolla;39;16,595,200;765;39;Septiembre;2017
Ñame;17;3,790,000;693;17;Septiembre;2017
Ajo (Producción);4;4,000,000;112;4;Septiembre;2017
Ajo (Comercialización);0;0;0;0;Septiembre;2017
Batata;4;1,000,000;320;4;Septiembre;2017
Tabaco (Producción);0;0;0;0;Septiembre;2017
Tabaco (Comercialización);3;710,000;0;3;Septiembre;2017
Invernadero;3;27,546,764;323;3;Septiembre;2017
Otros Agrícolas;89;144,734,042;16,594;89;Septiembre;2017
Ganado de Carne;55;41,025,000;0;55;Septiembre;2017
Ganado de Carne (Com);4;1,555,000;0;4;Septiembre;2017
Ganado de Leche;18;27,458,000;0;18;Septiembre;2017
Ganado de Leche (Com.);0;0;0;0;Septiembre;2017
Ganado de Doble Propósito;33;50,953,948;0;33;Septiembre;2017
