DESTINO; CANTIDAD ; VALORES ;  TAREAS; BENEFICIADOS ;MES;AÑO
Yuca;35;7,090,600;2,058;35;Julio;2019
Yautía;11;1,895,000;359;11;Julio;2019
Tomate Industrial;1;800,000;32;1;Julio;2019
Tomate de Mesa;15;22,800,000;288;15;Julio;2019
Coco (Producción);3;1,260,000;439;3;Julio;2019
Coco (Comercialización);2;1,500,000;0;2;Julio;2019
Guandul (Producción);1;260,000;105;1;Julio;2019
Guandul (Comercialización);0;0;0;0;Julio;2019
Papa;39;88,781,000;3,148;39;Julio;2019
Piña;20;29,325,000;1,929;20;Julio;2019
Cebolla;4;1,690,000;103;4;Julio;2019
Ñame;4;650,000;110;4;Julio;2019
Ajo (Producción);1;2,500,000;61;1;Julio;2019
Ajo (Comercialización);0;0;0;0;Julio;2019
Batata;7;505,000;170;7;Julio;2019
Tabaco (Producción);0;0;0;0;Julio;2019
Tabaco (Comercialización);3;8,650,000;0;3;Julio;2019
Invernadero;8;112,699,663;123;8;Julio;2019
Otros Agrícolas;165;249,168,479;10,502;203;Julio;2019
Ganado de Carne;79;59,835,716;0;79;Julio;2019
Ganado de Carne (Com);5;2,850,000;0;5;Julio;2019
Ganado de Leche;13;10,435,000;0;13;Julio;2019
Ganado de Leche (Com.);3;15,531,600;0;3;Julio;2019
Ganado de Doble Propósito;61;89,382,500;0;102;Julio;2019
Porcino (Producción);53;26,110,000;0;53;Julio;2019
Porcino (Comercialización);4;760,000;0;4;Julio;2019
Otros Pecuarios;34;26,119,500;0;54;Julio;2019
Gallinas Ponedoras;8;14,868,000;0;8;Julio;2019
Pollos de Engorde;58;34,066,637;0;58;Julio;2019
Otros Avícolas;0;0;0;0;Julio;2019
Apícola;3;540,000;0;3;Julio;2019
Préstamos de Consumo;232;47,567,992;0;232;Julio;2019
Agro. Manufactura, Comercio V. y Otros;238;223,470,788;0;238;Julio;2019
Arroz (Producción);62;39,610,500;7,976;62;Agosto;2019
Arroz (Comercialización);12;183,380,000;0;12;Agosto;2019
Aguacate (Producción);50;29,180,000;2,649;50;Agosto;2019
Ají (Producción);9;8,910,000;97;9;Agosto;2019
Café (Producción);13;36,786,581;3,127;13;Agosto;2019
Café (Comercialización);0;0;0;0;Agosto;2019
Cacao (Producción);166;162,662,900;31,244;303;Agosto;2019
Cacao (Comercialización);4;23,500,000;0;4;Agosto;2019
Habichuela (Producción);0;0;0;0;Agosto;2019
Habichuela (Comercialización);0;0;0;0;Agosto;2019
Plátano;8;17,395,000;2,325;8;Agosto;2019
Guineo;3;15,075,000;1,535;3;Agosto;2019
Maíz (Producción);4;622,000;194;4;Agosto;2019
Maíz (Comercialización);0;0;0;0;Agosto;2019
Yuca;23;5,112,500;1,655;23;Agosto;2019
Yautía;4;750,000;101;4;Agosto;2019
Tomate Industrial;0;0;0;0;Agosto;2019
Tomate de Mesa;14;9,389,000;191;14;Agosto;2019
Coco (Producción);2;45,100,000;3,045;2;Agosto;2019
Coco (Comercialización);2;350,000;0;2;Agosto;2019
Guandul (Producción);1;125,000;70;1;Agosto;2019
Guandul (Comercialización);0;0;0;0;Agosto;2019
Papa;14;30,229,000;1,260;14;Agosto;2019
Piña;14;7,150,000;466;14;Agosto;2019
Cebolla;3;6,650,000;330;3;Agosto;2019
Ñame;7;1,180,000;226;7;Agosto;2019
Ajo (Producción);0;0;0;0;Agosto;2019
Ajo (Comercialización);0;0;0;0;Agosto;2019
Batata;9;1,520,000;430;9;Agosto;2019
Tabaco (Producción);0;0;0;0;Agosto;2019
Tabaco (Comercialización);2;1,300,000;0;2;Agosto;2019
Invernadero;10;144,841,102;149;10;Agosto;2019
Otros Agrícolas;117;551,736,568;6,042;117;Agosto;2019
Ganado de Carne;55;55,510,000;0;55;Agosto;2019
Ganado de Carne (Com);3;3,630,000;0;3;Agosto;2019
Ganado de Leche;13;9,134,000;0;13;Agosto;2019
Ganado de Leche (Com.);2;51,500,000;0;2;Agosto;2019
Ganado de Doble Propósito;51;68,550,000;0;51;Agosto;2019
Porcino (Producción);40;22,587,105;0;40;Agosto;2019
Porcino (Comercialización);0;0;0;0;Agosto;2019
Otros Pecuarios;30;103,597,325;0;30;Agosto;2019
Gallinas Ponedoras;10;6,125,000;0;10;Agosto;2019
Pollos de Engorde;48;100,336,476;0;48;Agosto;2019
Otros Avícolas;1;300,000;0;1;Agosto;2019
Apícola;5;830,000;0;5;Agosto;2019
Préstamos de Consumo;169;23,649,310;0;169;Agosto;2019
Agro. Manufactura, Comercio V. y Otros;78;63,575,416;0;78;Agosto;2019
Arroz (Producción);25;30,677,200;5,817;25;Septiembre;2019
Arroz (Comercialización);10;89,141,640;0;10;Septiembre;2019
Aguacate (Producción);50;14,665,000;1,734;50;Septiembre;2019
Ají (Producción);13;14,850,000;190;13;Septiembre;2019
Café (Producción);25;11,915,000;1,714;25;Septiembre;2019
Café (Comercialización);0;0;0;0;Septiembre;2019
Cacao (Producción);104;56,347,200;14,066;104;Septiembre;2019
Cacao (Comercialización);2;2,300,000;0;2;Septiembre;2019
Habichuela (Producción);0;0;0;0;Septiembre;2019
Habichuela (Comercialización);0;0;0;0;Septiembre;2019
Plátano;16;10,150,000;2,350;16;Septiembre;2019
Guineo;2;2,120,000;297;2;Septiembre;2019
Maíz (Producción);2;505,500;97;2;Septiembre;2019
Maíz (Comercialización);0;0;0;0;Septiembre;2019
Yuca;25;8,115,000;1,998;25;Septiembre;2019
Yautía;12;2,025,000;314;12;Septiembre;2019
Tomate Industrial;0;0;0;0;Septiembre;2019
Tomate de Mesa;7;4,820,000;107;7;Septiembre;2019
Coco (Producción);4;1,700,000;620;4;Septiembre;2019
Coco (Comercialización);0;0;0;0;Septiembre;2019
Guandul (Producción);0;0;0;0;Septiembre;2019
Guandul (Comercialización);0;0;0;0;Septiembre;2019
Papa;15;15,300,000;647;15;Septiembre;2019
Piña;18;12,000,000;740;18;Septiembre;2019
Cebolla;15;18,637,500;972;15;Septiembre;2019
Ñame;10;2,155,000;274;10;Septiembre;2019
Ajo (Producción);0;0;0;0;Septiembre;2019
Ajo (Comercialización);1;10,000,000;0;1;Septiembre;2019
Batata;13;1,685,000;533;13;Septiembre;2019
Tabaco (Producción);0;0;0;0;Septiembre;2019
Tabaco (Comercialización);5;101,950,000;0;5;Septiembre;2019
Invernadero;4;35,792,450;33;4;Septiembre;2019
Otros Agrícolas;121;125,215,682;4,273;121;Septiembre;2019
Ganado de Carne;48;38,936,550;0;48;Septiembre;2019
Ganado de Carne (Com);3;735,000;0;3;Septiembre;2019
Ganado de Leche;18;12,077,000;0;18;Septiembre;2019
Ganado de Leche (Com.);1;32,960,110;0;1;Septiembre;2019
Ganado de Doble Propósito;62;75,033,000;0;62;Septiembre;2019
Porcino (Producción);44;24,964,400;0;44;Septiembre;2019
Porcino (Comercialización);0;0;0;0;Septiembre;2019
Otros Pecuarios;30;20,540,000;0;30;Septiembre;2019
Gallinas Ponedoras;6;25,375,000;0;6;Septiembre;2019
Pollos de Engorde;57;33,499,032;0;57;Septiembre;2019
Otros Avícolas;1;300,000;0;1;Septiembre;2019
Apícola;4;980,000;0;4;Septiembre;2019
Préstamos de Consumo;182;28,642,549;0;182;Septiembre;2019
Agro. Manufactura, Comercio V. y Otros;167;156,265,381;0;167;Septiembre;2019
Arroz (Producción);2;16,000,000;2,595;2;Octubre;2019
Arroz (Comercialización);8;44,587,600;0;8;Octubre;2019
Aguacate (Producción);44;15,760,000;1,651;44;Octubre;2019
Ají (Producción);14;12,245,000;483;14;Octubre;2019
Café (Producción);28;8,250,000;1,812;28;Octubre;2019
Café (Comercialización);1;220,500;0;1;Octubre;2019
Cacao (Producción);66;27,352,000;7,406;100;Octubre;2019
Cacao (Comercialización);8;250,350,000;0;8;Octubre;2019
Habichuela (Producción);95;24,236,000;6,751;95;Octubre;2019
Habichuela (Comercialización);0;0;0;0;Octubre;2019
Plátano;30;39,032,000;5,517;30;Octubre;2019
Guineo;4;690,000;150;4;Octubre;2019
Maíz (Producción);2;130,000;95;2;Octubre;2019
Maíz (Comercialización);0;0;0;0;Octubre;2019
Yuca;22;4,390,000;1,135;22;Octubre;2019
Yautía;9;1,890,000;268;9;Octubre;2019
Tomate Industrial;1;400,000;40;1;Octubre;2019
Tomate de Mesa;13;6,685,000;219;13;Octubre;2019
Coco (Producción);1;100,000;54;1;Octubre;2019
Coco (Comercialización);0;0;0;0;Octubre;2019
Guandul (Producción);1;74,000;25;1;Octubre;2019
Guandul (Comercialización);0;0;0;0;Octubre;2019
Papa;18;18,855,000;835;18;Octubre;2019
Piña;28;44,980,000;2,757;28;Octubre;2019
Cebolla;37;11,130,000;894;47;Octubre;2019
Ñame;9;2,025,000;232;9;Octubre;2019
Ajo (Producción);16;40,130,000;1,456;16;Octubre;2019
Ajo (Comercialización);3;71,250,000;0;3;Octubre;2019
Batata;7;4,344,000;1,061;7;Octubre;2019
Tabaco (Producción);6;1,045,000;178;6;Octubre;2019
Tabaco (Comercialización);3;2,800,000;0;3;Octubre;2019
Invernadero;3;23,727,120;39;3;Octubre;2019
Otros Agrícolas;122;250,195,432;2,277;122;Octubre;2019
Ganado de Carne;65;67,338,000;0;65;Octubre;2019
Ganado de Carne (Com);2;412,500;0;2;Octubre;2019
Ganado de Leche;10;26,728,108;0;10;Octubre;2019
Ganado de Leche (Com.);9;179,488,918;0;9;Octubre;2019
Ganado de Doble Propósito;40;77,743,200;0;53;Octubre;2019
Porcino (Producción);53;37,349,000;0;53;Octubre;2019
Porcino (Comercialización);0;0;0;0;Octubre;2019
Otros Pecuarios;54;58,018,939;0;54;Octubre;2019
Gallinas Ponedoras;6;40,900,000;0;6;Octubre;2019
Pollos de Engorde;56;23,564,864;0;56;Octubre;2019
Otros Avícolas;0;0;0;0;Octubre;2019
Apícola;5;670,000;0;5;Octubre;2019
Préstamos de Consumo;195;42,635,481;0;195;Octubre;2019
Agro. Manufactura, Comercio V. y Otros;412;465,436,014;0;412;Octubre;2019
Arroz (Producción);977;420,359,420;90,551;1,011;Noviembre;2019
Arroz (Comercialización);12;174,263,296;0;12;Noviembre;2019
Aguacate (Producción);45;13,410,000;1,745;45;Noviembre;2019
Ají (Producción);6;7,490,085;92;6;Noviembre;2019
Café (Producción);18;12,410,000;1,543;18;Noviembre;2019
Café (Comercialización);0;0;0;0;Noviembre;2019
Cacao (Producción);45;19,987,000;5,294;45;Noviembre;2019
Cacao (Comercialización);5;138,160,000;0;5;Noviembre;2019
Habichuela (Producción);54;14,837,700;4,138;54;Noviembre;2019
Habichuela (Comercialización);0;0;0;0;Noviembre;2019
Plátano;30;22,025,000;3,791;30;Noviembre;2019
Guineo;0;0;0;0;Noviembre;2019
Maíz (Producción);2;135,000;80;2;Noviembre;2019
Maíz (Comercialización);0;0;0;0;Noviembre;2019
Yuca;17;4,846,500;1,289;17;Noviembre;2019
Yautía;12;3,170,000;264;12;Noviembre;2019
Tomate Industrial;0;0;0;0;Noviembre;2019
Tomate de Mesa;12;11,840,000;197;12;Noviembre;2019
Coco (Producción);9;10,970,000;1,636;9;Noviembre;2019
Coco (Comercialización);0;0;0;0;Noviembre;2019
Guandul (Producción);3;380,000;101;3;Noviembre;2019
Guandul (Comercialización);0;0;0;0;Noviembre;2019
Papa;21;24,100,000;1,067;21;Noviembre;2019
Piña;19;70,350,000;4,595;19;Noviembre;2019
Cebolla;35;6,424,000;518;35;Noviembre;2019
Ñame;10;2,635,000;377;10;Noviembre;2019
Ajo (Producción);16;35,884,000;903;16;Noviembre;2019
Ajo (Comercialización);1;15,000,000;0;1;Noviembre;2019
Batata;3;515,000;195;3;Noviembre;2019
Tabaco (Producción);5;1,305,000;160;5;Noviembre;2019
Tabaco (Comercialización);2;490,000;0;2;Noviembre;2019
Invernadero;2;39,967,052;32;2;Noviembre;2019
Otros Agrícolas;123;207,944,208;5,979;123;Noviembre;2019
Ganado de Carne;49;38,620,000;0;49;Noviembre;2019
Ganado de Carne (Com);5;2,500,000;0;5;Noviembre;2019
Ganado de Leche;25;13,700,000;0;25;Noviembre;2019
Ganado de Leche (Com.);0;0;0;0;Noviembre;2019
Ganado de Doble Propósito;52;51,682,500;0;52;Noviembre;2019
Porcino (Producción);39;40,080,000;0;39;Noviembre;2019
Porcino (Comercialización);0;0;0;0;Noviembre;2019
Otros Pecuarios;41;19,387,364;0;41;Noviembre;2019
Gallinas Ponedoras;4;11,500,000;0;4;Noviembre;2019
Pollos de Engorde;48;55,251,430;0;48;Noviembre;2019
Otros Avícolas;1;165,000;0;1;Noviembre;2019
Apícola;6;1,260,000;0;6;Noviembre;2019
Préstamos de Consumo;205;40,803,751;0;205;Noviembre;2019
Agro. Manufactura, Comercio V. y Otros;409;563,413,776;0;409;Noviembre;2019
Arroz (Producción);1,574;689,387,700;138,386;1,647;Diciembre;2019
Arroz (Comercialización);11;92,616,000;0;11;Diciembre;2019
Aguacate (Producción);41;41,655,000;4,384;146;Diciembre;2019
Ají (Producción);4;7,000,000;110;4;Diciembre;2019
Café (Producción);20;14,259,000;2,456;20;Diciembre;2019
Café (Comercialización);3;26,200,000;0;3;Diciembre;2019
Cacao (Producción);39;28,465,000;6,308;39;Diciembre;2019
Cacao (Comercialización);6;6,911,000;0;6;Diciembre;2019
Habichuela (Producción);26;6,939,000;2,123;26;Diciembre;2019
Habichuela (Comercialización);0;0;0;0;Diciembre;2019
Plátano;110;42,960,000;5,891;110;Diciembre;2019
Guineo;3;5,420,000;362;3;Diciembre;2019
Maíz (Producción);4;575,000;330;4;Diciembre;2019
Maíz (Comercialización);0;0;0;0;Diciembre;2019
Yuca;17;7,190,000;2,780;17;Diciembre;2019
Yautía;8;1,390,000;113;8;Diciembre;2019
Tomate Industrial;0;0;0;0;Diciembre;2019
Tomate de Mesa;10;7,315,000;149;10;Diciembre;2019
Coco (Producción);1;900,000;935;1;Diciembre;2019
Coco (Comercialización);0;0;0;0;Diciembre;2019
Guandul (Producción);1;100,000;37;1;Diciembre;2019
Guandul (Comercialización);0;0;0;0;Diciembre;2019
Papa;22;62,604,000;2,060;22;Diciembre;2019
Piña;17;12,780,000;736;17;Diciembre;2019
Cebolla;14;6,852,500;376;14;Diciembre;2019
Ñame;15;2,865,000;366;15;Diciembre;2019
Ajo (Producción);12;17,050,000;449;12;Diciembre;2019
Ajo (Comercialización);2;460,000,000;0;2;Diciembre;2019
Batata;13;2,820,000;856;13;Diciembre;2019
Tabaco (Producción);8;18,594,000;2,712;68;Diciembre;2019
Tabaco (Comercialización);2;1,025,000;0;2;Diciembre;2019
Invernadero;4;4,935,838;3;4;Diciembre;2019
Otros Agrícolas;124;272,466,209;10,107;124;Diciembre;2019
Ganado de Carne;49;54,547,900;0;49;Diciembre;2019
Ganado de Carne (Com);6;1,560,000;0;6;Diciembre;2019
Ganado de Leche;14;10,085,000;0;14;Diciembre;2019
Ganado de Leche (Com.);2;39,474,000;0;2;Diciembre;2019
Ganado de Doble Propósito;48;41,791,000;0;48;Diciembre;2019
Porcino (Producción);39;23,958,500;0;39;Diciembre;2019
Porcino (Comercialización);0;0;0;0;Diciembre;2019
Otros Pecuarios;37;22,226,312;0;37;Diciembre;2019
Gallinas Ponedoras;7;7,200,000;0;7;Diciembre;2019
Pollos de Engorde;44;19,932,476;0;44;Diciembre;2019
Otros Avícolas;0;0;0;0;Diciembre;2019
Apícola;7;3,430,000;0;7;Diciembre;2019
Préstamos de Consumo;349;63,419,744;0;349;Diciembre;2019
Agro. Manufactura, Comercio V. y Otros;413;564,666,274;0;413;Diciembre;2019
Arroz (Producción);418;236,234,090;47,680;418;Enero;2020
Arroz (Comercialización);6;44,230,000;0;6;Enero;2020
Aguacate (Producción);53;14,307,500;1,986;53;Enero;2020
Ají (Producción);11;31,667,500;308;11;Enero;2020
Café (Producción);16;10,100,000;1,054;16;Enero;2020
Café (Comercialización);0;0;0;0;Enero;2020
Cacao (Producción);31;20,088,500;5,598;31;Enero;2020
Cacao (Comercialización);7;102,800,000;0;7;Enero;2020
Habichuela (Producción);5;1,253,000;321;5;Enero;2020
Habichuela (Comercialización);0;0;0;0;Enero;2020
Plátano;77;24,303,000;3,517;77;Enero;2020
Guineo;4;6,612,000;548;4;Enero;2020
Maíz (Producción);2;625,000;160;2;Enero;2020
Maíz (Comercialización);0;0;0;0;Enero;2020
Yuca;25;6,905,000;1,496;25;Enero;2020
Yautía;7;1,080,000;181;7;Enero;2020
Tomate Industrial;2;4,500,000;479;2;Enero;2020
Tomate de Mesa;11;21,250,000;302;11;Enero;2020
Coco (Producción);5;6,980,000;1,032;5;Enero;2020
Coco (Comercialización);0;0;0;0;Enero;2020
Guandul (Producción);3;385,000;153;3;Enero;2020
Guandul (Comercialización);0;0;0;0;Enero;2020
Papa;22;11,500,000;519;22;Enero;2020
Piña;12;14,770,000;1,294;12;Enero;2020
Cebolla;9;3,940,000;202;9;Enero;2020
Ñame;6;975,000;127;6;Enero;2020
Ajo (Producción);8;14,900,000;414;8;Enero;2020
Ajo (Comercialización);0;0;0;0;Enero;2020
Batata;8;817,500;319;8;Enero;2020
Tabaco (Producción);3;555,000;100;3;Enero;2020
Tabaco (Comercialización);2;450,000;0;2;Enero;2020
Invernadero;0;0;0;0;Enero;2020
Otros Agrícolas;99;54,816,912;4,933;99;Enero;2020
Ganado de Carne;48;55,816,250;0;48;Enero;2020
Ganado de Carne (Com);5;7,350,000;0;5;Enero;2020
Ganado de Leche;15;10,905,000;0;15;Enero;2020
Ganado de Leche (Com.);2;32,837,600;0;2;Enero;2020
Ganado de Doble Propósito;37;41,202,500;0;37;Enero;2020
Porcino (Producción);39;18,533,400;0;39;Enero;2020
Porcino (Comercialización);1;300,000;0;1;Enero;2020
Otros Pecuarios;34;33,242,855;0;34;Enero;2020
Gallinas Ponedoras;0;0;0;0;Enero;2020
Pollos de Engorde;50;31,030,556;0;50;Enero;2020
Otros Avícolas;1;15,900,000;0;1;Enero;2020
Apícola;1;80,000;0;1;Enero;2020
Préstamos de Consumo;168;31,605,800;0;168;Enero;2020
Agro. Manufactura, Comercio V. y Otros;382;228,306,318;0;382;Enero;2020
Arroz (Producción);111;136,757,250;24,851;111;Febrero;2020
Arroz (Comercialización);4;80,800,000;0;4;Febrero;2020
Aguacate (Producción);70;69,004,409;5,152;70;Febrero;2020
Ají (Producción);11;9,610,000;440;11;Febrero;2020
Café (Producción);30;13,735,317;3,252;30;Febrero;2020
Café (Comercialización);1;10,002,496;0;1;Febrero;2020
Cacao (Producción);38;16,724,500;3,769;38;Febrero;2020
Cacao (Comercialización);4;16,350,000;0;4;Febrero;2020
Habichuela (Producción);0;0;0;0;Febrero;2020
Habichuela (Comercialización);0;0;0;0;Febrero;2020
Plátano;64;35,382,844;4,719;64;Febrero;2020
Guineo;5;6,004,000;525;5;Febrero;2020
Maíz (Producción);6;283,750;160;6;Febrero;2020
Maíz (Comercialización);0;0;0;0;Febrero;2020
Yuca;13;1,916,000;554;13;Febrero;2020
Yautía;9;2,590,000;344;9;Febrero;2020
Tomate Industrial;0;0;0;0;Febrero;2020
Tomate de Mesa;18;12,750,000;1,110;18;Febrero;2020
Coco (Producción);4;3,580,000;511;4;Febrero;2020
Coco (Comercialización);1;60,000;0;1;Febrero;2020
Guandul (Producción);3;275,000;105;3;Febrero;2020
Guandul (Comercialización);0;0;0;0;Febrero;2020
Papa;18;15,689,000;702;18;Febrero;2020
Piña;23;21,230,000;1,184;23;Febrero;2020
Cebolla;6;12,700,000;674;6;Febrero;2020
Ñame;12;2,595,000;349;12;Febrero;2020
Ajo (Producción);1;737,660;20;1;Febrero;2020
Ajo (Comercialización);0;0;0;0;Febrero;2020
Batata;6;1,215,000;296;6;Febrero;2020
Tabaco (Producción);3;600,000;82;3;Febrero;2020
Tabaco (Comercialización);3;1,050,000;0;3;Febrero;2020
Invernadero;2;15,123,001;20;2;Febrero;2020
Otros Agrícolas;121;212,363,817;7,524;121;Febrero;2020
Ganado de Carne;53;38,230,650;0;53;Febrero;2020
Ganado de Carne (Com);4;3,510,000;0;4;Febrero;2020
Ganado de Leche;12;11,264,000;0;12;Febrero;2020
Ganado de Leche (Com.);3;38,221,000;0;3;Febrero;2020
Ganado de Doble Propósito;39;43,540,000;0;59;Febrero;2020
Porcino (Producción);37;26,577,200;0;37;Febrero;2020
Porcino (Comercialización);1;100,000;0;1;Febrero;2020
Otros Pecuarios;39;45,418,058;0;39;Febrero;2020
Gallinas Ponedoras;4;2,350,000;0;4;Febrero;2020
Pollos de Engorde;39;59,124,176;0;39;Febrero;2020
Otros Avícolas;1;150,000;0;1;Febrero;2020
Apícola;2;325,000;0;2;Febrero;2020
Préstamos de Consumo;230;34,731,132;0;230;Febrero;2020
Agro. Manufactura, Comercio V. y Otros;437;526,352,013;0;437;Febrero;2020
Arroz (Producción);42;33,827,000;6,517;42;Marzo;2020
Arroz (Comercialización);8;93,790,000;0;8;Marzo;2020
Aguacate (Producción);84;58,265,000;5,123;84;Marzo;2020
Ají (Producción);10;6,765,000;293;10;Marzo;2020
Café (Producción);21;16,662,000;2,458;21;Marzo;2020
Café (Comercialización);1;11,000,000;0;1;Marzo;2020
Cacao (Producción);41;27,821,640;5,852;41;Marzo;2020
Cacao (Comercialización);2;20,125,000;0;2;Marzo;2020
Habichuela (Producción);0;0;0;0;Marzo;2020
Habichuela (Comercialización);0;0;0;0;Marzo;2020
Plátano;46;24,109,000;3,139;46;Marzo;2020
Guineo;0;0;0;0;Marzo;2020
Maíz (Producción);14;1,552,500;969;14;Marzo;2020
Maíz (Comercialización);0;0;0;0;Marzo;2020
Yuca;14;3,834,000;978;14;Marzo;2020
Yautía;11;2,170,000;300;11;Marzo;2020
Tomate Industrial;1;1,500,000;70;1;Marzo;2020
Tomate de Mesa;9;5,900,000;895;9;Marzo;2020
Coco (Producción);4;6,685,175;655;4;Marzo;2020
Coco (Comercialización);0;0;0;0;Marzo;2020
Guandul (Producción);2;260,000;110;2;Marzo;2020
Guandul (Comercialización);0;0;0;0;Marzo;2020
Papa;4;9,310,000;409;4;Marzo;2020
Piña;16;10,300,000;608;16;Marzo;2020
Cebolla;5;6,637,500;350;5;Marzo;2020
Ñame;9;1,695,000;297;9;Marzo;2020
Ajo (Producción);1;1,150,000;30;1;Marzo;2020
Ajo (Comercialización);0;0;0;0;Marzo;2020
Batata;6;1,015,000;354;6;Marzo;2020
Tabaco (Producción);2;4,125,000;510;2;Marzo;2020
Tabaco (Comercialización);3;1,475,000;0;3;Marzo;2020
Invernadero;0;0;0;0;Marzo;2020
Otros Agrícola;77;241,437,775;3,672;77;Marzo;2020
Ganado de Carne;32;30,624,600;0;32;Marzo;2020
Ganado de Carne (Com);0;0;0;0;Marzo;2020
Ganado de Leche;8;7,115,000;0;8;Marzo;2020
Ganado de Leche (Com.);1;7,370,200;0;1;Marzo;2020
Ganado de Doble Propósito;49;44,509,000;0;49;Marzo;2020
Porcino (Producción);35;16,078,200;0;35;Marzo;2020
Porcino (Comercialización);1;300,000;0;1;Marzo;2020
Otros Pecuarios;27;20,778,268;0;27;Marzo;2020
Gallinas Ponedoras;5;2,932,000;0;5;Marzo;2020
Pollos de Engorde;35;16,691,000;0;35;Marzo;2020
Otros Avícolas;1;200,000;0;1;Marzo;2020
Apícola;1;262,000;0;1;Marzo;2020
Préstamos de Consumo;184;34,164,130;0;184;Marzo;2020
Agro. Manufactura, Comercio V. y Otros;431;533,651,187;0;431;Marzo;2020
Arroz (Producción);459;148,095,255;34,745;459;Abril;2020
Arroz (Comercialización);19;161,582,880;0;19;Abril;2020
Aguacate (Producción);47;22,497,500;2,044;47;Abril;2020
Ají (Producción);7;3,125,000;84;7;Abril;2020
Café (Producción);4;1,500,000;365;4;Abril;2020
Café (Comercialización);0;0;0;0;Abril;2020
Cacao (Producción);22;6,165,000;2,249;22;Abril;2020
Cacao (Comercialización);2;80,300,000;0;2;Abril;2020
Habichuela (Producción);0;0;0;0;Abril;2020
Habichuela (Comercialización);0;0;0;0;Abril;2020
Plátano;19;6,360,000;866;19;Abril;2020
Guineo;0;0;0;0;Abril;2020
Maíz (Producción);6;742,000;388;6;Abril;2020
Maíz (Comercialización);0;0;0;0;Abril;2020
Yuca;5;620,000;166;5;Abril;2020
Yautía;2;425,000;63;2;Abril;2020
Tomate Industrial;0;0;0;0;Abril;2020
Tomate de Mesa;8;6,762,000;8,971;8;Abril;2020
Coco (Producción);1;80,000;30;1;Abril;2020
Coco (Comercialización);0;0;0;0;Abril;2020
Guandul (Producción);4;500,000;260;4;Abril;2020
Guandul (Comercialización);0;0;0;0;Abril;2020
Papa;12;6,950,000;328;12;Abril;2020
Piña;0;0;0;0;Abril;2020
Cebolla;3;7,100,000;440;3;Abril;2020
Ñame;8;1,960,000;250;8;Abril;2020
Ajo (Producción);0;0;0;0;Abril;2020
Ajo (Comercialización);0;0;0;0;Abril;2020
Batata;2;130,000;35;2;Abril;2020
Tabaco (Producción);0;0;0;0;Abril;2020
Tabaco (Comercialización);2;550,000;0;2;Abril;2020
Invernadero;0;0;0;0;Abril;2020
Otros Agrícola;36;58,903,475;4,371;36;Abril;2020
Ganado de Carne;14;7,585,000;0;14;Abril;2020
Ganado de Carne (Com);0;0;0;0;Abril;2020
Ganado de Leche;1;800,000;0;1;Abril;2020
Ganado de Leche (Com.);1;18,878,800;0;1;Abril;2020
Ganado de Doble Propósito;6;4,490,000;0;6;Abril;2020
Porcino (Producción);14;5,850,000;0;14;Abril;2020
Porcino (Comercialización);0;0;0;0;Abril;2020
Otros Pecuarios;12;4,633,745;0;12;Abril;2020
Gallinas Ponedoras;5;22,500,000;0;5;Abril;2020
Pollos de Engorde;19;8,710,000;0;19;Abril;2020
Otros Avícolas;0;0;0;0;Abril;2020
Apícola;0;0;0;0;Abril;2020
Préstamos de Consumo;94;16,594,874;0;94;Abril;2020
Agro. Manufactura, Comercio V. y Otros;252;202,705,495;0;252;Abril;2020
Arroz (Producción);1,183;443,056,690;100,716;1,296;Mayo;2020
Arroz (Comercialización);42;534,102,040;0;42;Mayo;2020
Aguacate (Producción);55;20,600,000;2,553;55;Mayo;2020
Ají (Producción);7;4,260,785;102;7;Mayo;2020
Café (Producción);13;3,860,000;637;13;Mayo;2020
Café (Comercialización);0;0;0;0;Mayo;2020
Cacao (Producción);58;24,241,800;8,234;58;Mayo;2020
Cacao (Comercialización);2;21,000,000;0;2;Mayo;2020
Habichuela (Producción);0;0;0;0;Mayo;2020
Habichuela (Comercialización);0;0;0;0;Mayo;2020
Plátano;25;11,490,000;1,712;25;Mayo;2020
Guineo;0;0;0;0;Mayo;2020
Maíz (Producción);1;75,000;45;1;Mayo;2020
Maíz (Comercialización);0;0;0;0;Mayo;2020
Yuca;6;6,867,000;1,786;6;Mayo;2020
Yautía;8;1,875,000;292;8;Mayo;2020
Tomate Industrial;0;0;0;0;Mayo;2020
Tomate de Mesa;5;6,150,000;125;5;Mayo;2020
Coco (Producción);4;1,275,000;751;4;Mayo;2020
Coco (Comercialización);0;0;0;0;Mayo;2020
Guandul (Producción);0;0;0;0;Mayo;2020
Guandul (Comercialización);0;0;0;0;Mayo;2020
Papa;20;60,110,000;1,955;20;Mayo;2020
Piña;11;4,220,000;298;11;Mayo;2020
Cebolla;4;4,200,000;175;4;Mayo;2020
Ñame;7;1,340,000;191;7;Mayo;2020
Ajo (Producción);0;0;0;0;Mayo;2020
Ajo (Comercialización);0;0;0;0;Mayo;2020
Batata;3;825,000;300;3;Mayo;2020
Tabaco (Producción);0;0;0;0;Mayo;2020
Tabaco (Comercialización);1;200,000;0;1;Mayo;2020
Invernadero;0;0;0;0;Mayo;2020
Otros Agrícola;64;160,468,436;2,491;64;Mayo;2020
Ganado de Carne;26;38,465,000;0;26;Mayo;2020
Ganado de Carne (Com);1;100,000;0;1;Mayo;2020
