tipo_registro,anio,mes_numero,mes_nombre,periodo_fecha,sucursal_nombre,region,destino_nombre,rubro,tipo_operacion,cantidad_prestamos,valor_cartera_rd,tareas_financiadas,valor_area_rd,desembolsos_rd,cobros_rd,balance_neto_rd,cantidad_destino,valores_destino_rd,tareas_destino,beneficiados
Cartera prestamos,2017,5,Mayo,2017-05-01,Moca,Cibao Norte,,,,1040,645115714,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Monte Plata,Metropolitana,,,,1196,970246481,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Montecristí,Cibao Noroeste,,,,1132,1190765195,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Nagua,Cibao Nordeste,,,,952,432293093,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Neyba,Sur,,,,1821,499430491,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Puerto Plata,Cibao Norte,,,,1942,569121740,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Río San Juan,Cibao Nordeste,,,,986,444188967,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Salcedo,Cibao Nordeste,,,,923,417043513,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Samaná,Cibao Nordeste,,,,1311,312035962,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,San Cristóbal,Sur,,,,1294,715601108,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,San Francisco de Macorís,Cibao Nordeste,,,,857,700496549,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,San José de Ocoa,Sur,,,,1156,1511169785,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,San José de las Matas,Cibao Norte,,,,947,566383640,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,San Juan de la Maguana,Sur,,,,4703,1362093364,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Santiago,Cibao Norte,,,,523,480401684,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Santiago Rodríguez,Cibao Noroeste,,,,1655,773835792,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Santo Domingo,Metropolitana,,,,2025,1880388455,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Valverde Mao,Cibao Noroeste,,,,1081,1317285483,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Villa Riva,Cibao Nordeste,,,,1059,354086654,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Arenoso,Cibao Nordeste,,,,835,269107881,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Azua,Sur,,,,2036,714436442,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Baní,Sur,,,,780,551974294,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Barahona,Sur,,,,2222,616421958,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Bonao,Cibao Nordeste,,,,619,504067287,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Comendador,Sur,,,,1916,357366963,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Constanza,Cibao Norte,,,,1274,813722169,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Cotuí,Cibao Nordeste,,,,1962,988110513,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Dajabón,Cibao Noroeste,,,,1172,473772132,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,El Seibo,Este,,,,1196,329480745,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Hato Mayor,Este,,,,1166,607370515,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Higüey,Este,,,,1227,828528007,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,La Vega,Cibao Norte,,,,1093,977333237,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Moca,Cibao Norte,,,,1049,668179263,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Monte Plata,Metropolitana,,,,1229,914772181,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Montecristí,Cibao Noroeste,,,,1185,1268494436,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Nagua,Cibao Nordeste,,,,1104,412428719,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Neyba,Sur,,,,1789,500532249,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Puerto Plata,Cibao Norte,,,,1923,566491381,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Río San Juan,Cibao Nordeste,,,,988,447530898,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Salcedo,Cibao Nordeste,,,,905,422782045,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Samaná,Cibao Nordeste,,,,1306,310754305,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,San Cristóbal,Sur,,,,1306,711796975,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,San Francisco de Macorís,Cibao Nordeste,,,,910,659577959,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,San José de Ocoa,Sur,,,,1168,1564800178,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,San José de las Matas,Cibao Norte,,,,961,589971421,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,San Juan de la Maguana,Sur,,,,4662,1375832027,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Santiago,Cibao Norte,,,,511,481134155,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Santiago Rodríguez,Cibao Noroeste,,,,1663,763452996,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Santo Domingo,Metropolitana,,,,2016,1840804408,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Valverde Mao,Cibao Noroeste,,,,1127,1368339002,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,6,Junio,2017-06-01,Villa Riva,Cibao Nordeste,,,,1129,354417106,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Arenoso,Cibao Nordeste,,,,863,295679009,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Azua,Sur,,,,2010,658059610,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Baní,Sur,,,,780,554534192,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Barahona,Sur,,,,2175,605703966,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Bonao,Cibao Nordeste,,,,637,474481588,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Comendador,Sur,,,,1875,346323741,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Constanza,Cibao Norte,,,,1265,803513111,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Cotuí,Cibao Nordeste,,,,1980,1002264168,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Dajabón,Cibao Noroeste,,,,1189,488905201,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,El Seibo,Este,,,,1166,325925526,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Hato Mayor,Este,,,,1152,624220932,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,7,Julio,2017-07-01,Higüey,Este,,,,1218,809970390,0,0,0,0,0,0,0,0,0
